employee_id,plant,role,hourly_wage,annual_hours,union_status,supervisor_type,census_division
LAB-CHA-000,"Champaign, Illinois",Production Supervisor,19.08,2080,Non-Union,production,East North Central
LAB-CHA-001,"Champaign, Illinois",Packaging Operator,16.73,2080,Non-Union,non-production,East North Central
LAB-CHA-002,"Champaign, Illinois",Production Operator,19.26,2080,Union,non-production,East North Central
LAB-CHA-003,"Champaign, Illinois",Production Operator,18.54,2080,Union,non-production,East North Central
LAB-CHA-004,"Champaign, Illinois",Maintenance Tech,20.38,2080,Union,non-production,East North Central
LAB-CHA-005,"Champaign, Illinois",Line Lead,24.39,2080,Non-Union,production,East North Central
LAB-CHA-006,"Champaign, Illinois",Production Supervisor,20.69,2080,Non-Union,production,East North Central
LAB-CHA-007,"Champaign, Illinois",Production Operator,14.99,2080,Non-Union,non-production,East North Central
LAB-CHA-008,"Champaign, Illinois",Quality Inspector,18.39,2080,Non-Union,non-production,East North Central
LAB-CHA-009,"Champaign, Illinois",Packaging Operator,18.52,2080,Non-Union,non-production,East North Central
LAB-CHA-010,"Champaign, Illinois",Line Lead,21.91,2080,Union,production,East North Central
LAB-CHA-011,"Champaign, Illinois",Production Supervisor,18.87,2080,Union,production,East North Central
LAB-CHA-012,"Champaign, Illinois",Production Operator,21.01,2080,Non-Union,non-production,East North Central
LAB-CHA-013,"Champaign, Illinois",Line Lead,23.36,2080,Union,production,East North Central
LAB-CHA-014,"Champaign, Illinois",Packaging Operator,19.34,2080,Union,non-production,East North Central
LAB-CHA-015,"Champaign, Illinois",Production Operator,16.47,2080,Union,non-production,East North Central
LAB-CHA-016,"Champaign, Illinois",Maintenance Tech,19.63,2080,Non-Union,non-production,East North Central
LAB-CHA-017,"Champaign, Illinois",Production Operator,15.78,2080,Union,non-production,East North Central
LAB-CHA-018,"Champaign, Illinois",Quality Inspector,18.27,2080,Union,non-production,East North Central
LAB-CHA-019,"Champaign, Illinois",Quality Inspector,17.58,2080,Non-Union,non-production,East North Central
LAB-CHA-020,"Champaign, Illinois",Production Supervisor,17.41,2080,Non-Union,production,East North Central
LAB-CHA-021,"Champaign, Illinois",Production Operator,18.87,2080,Union,non-production,East North Central
LAB-MAD-022,"Madison, Wisconsin",Production Supervisor,21.21,2080,Non-Union,production,East North Central
LAB-MAD-023,"Madison, Wisconsin",Production Operator,16.3,2080,Union,non-production,East North Central
LAB-MAD-024,"Madison, Wisconsin",Maintenance Tech,18.86,2080,Union,non-production,East North Central
LAB-MAD-025,"Madison, Wisconsin",Line Lead,22.95,2080,Union,production,East North Central
LAB-MAD-026,"Madison, Wisconsin",Production Supervisor,18.65,2080,Union,production,East North Central
LAB-MAD-027,"Madison, Wisconsin",Production Supervisor,22.92,2080,Non-Union,production,East North Central
LAB-MAD-028,"Madison, Wisconsin",Packaging Operator,17.13,2080,Non-Union,non-production,East North Central
LAB-MAD-029,"Madison, Wisconsin",Line Lead,20.33,2080,Non-Union,production,East North Central
LAB-MAD-030,"Madison, Wisconsin",Quality Inspector,17.22,2080,Non-Union,non-production,East North Central
LAB-MAD-031,"Madison, Wisconsin",Quality Inspector,19.28,2080,Non-Union,non-production,East North Central
LAB-MAD-032,"Madison, Wisconsin",Production Supervisor,22.16,2080,Non-Union,production,East North Central
LAB-MAD-033,"Madison, Wisconsin",Packaging Operator,17.23,2080,Union,non-production,East North Central
LAB-MAD-034,"Madison, Wisconsin",Maintenance Tech,16.74,2080,Non-Union,non-production,East North Central
LAB-MAD-035,"Madison, Wisconsin",Maintenance Tech,18.46,2080,Non-Union,non-production,East North Central
LAB-MAD-036,"Madison, Wisconsin",Production Supervisor,22.72,2080,Non-Union,production,East North Central
LAB-MAD-037,"Madison, Wisconsin",Line Lead,19.29,2080,Union,production,East North Central
LAB-MAD-038,"Madison, Wisconsin",Production Operator,19.39,2080,Non-Union,non-production,East North Central
LAB-MAD-039,"Madison, Wisconsin",Quality Inspector,20.67,2080,Non-Union,non-production,East North Central
LAB-MAD-040,"Madison, Wisconsin",Quality Inspector,17.02,2080,Non-Union,non-production,East North Central
LAB-MAD-041,"Madison, Wisconsin",Production Operator,19.56,2080,Non-Union,non-production,East North Central
LAB-MAD-042,"Madison, Wisconsin",Production Operator,18.85,2080,Union,non-production,East North Central
LAB-MAD-043,"Madison, Wisconsin",Packaging Operator,17.52,2080,Union,non-production,East North Central
LAB-MAD-044,"Madison, Wisconsin",Quality Inspector,16.07,2080,Non-Union,non-production,East North Central
LAB-MAD-045,"Madison, Wisconsin",Packaging Operator,18.56,2080,Non-Union,non-production,East North Central
LAB-IOW-046,"Iowa City, Iowa",Line Lead,20.0,2080,Union,production,West North Central
LAB-IOW-047,"Iowa City, Iowa",Maintenance Tech,17.98,2080,Non-Union,non-production,West North Central
