employee_id,plant,role,hourly_wage,annual_hours,union_status,supervisor_type,census_division
LAB-CHA-000,"Champaign, Illinois",Line Lead,23.13,2080,Non-Union,production,East North Central
LAB-CHA-001,"Champaign, Illinois",Quality Inspector,16.73,2080,Non-Union,non-production,East North Central
LAB-CHA-002,"Champaign, Illinois",Production Supervisor,22.36,2080,Non-Union,production,East North Central
LAB-CHA-003,"Champaign, Illinois",Production Supervisor,25.05,2080,Union,production,East North Central
LAB-CHA-004,"Champaign, Illinois",Production Operator,15.24,2080,Union,non-production,East North Central
LAB-CHA-005,"Champaign, Illinois",Production Operator,19.1,2080,Union,non-production,East North Central
LAB-CHA-006,"Champaign, Illinois",Production Operator,18.17,2080,Non-Union,non-production,East North Central
LAB-CHA-007,"Champaign, Illinois",Line Lead,25.33,2080,Union,production,East North Central
LAB-CHA-008,"Champaign, Illinois",Quality Inspector,16.18,2080,Non-Union,non-production,East North Central
LAB-CHA-009,"Champaign, Illinois",Production Supervisor,22.42,2080,Union,production,East North Central
LAB-CHA-010,"Champaign, Illinois",Packaging Operator,16.14,2080,Union,non-production,East North Central
LAB-CHA-011,"Champaign, Illinois",Packaging Operator,19.13,2080,Union,non-production,East North Central
LAB-CHA-012,"Champaign, Illinois",Maintenance Tech,18.46,2080,Non-Union,non-production,East North Central
LAB-CHA-013,"Champaign, Illinois",Packaging Operator,17.9,2080,Non-Union,non-production,East North Central
LAB-CHA-014,"Champaign, Illinois",Production Operator,19.32,2080,Non-Union,non-production,East North Central
LAB-CHA-015,"Champaign, Illinois",Production Supervisor,21.34,2080,Union,production,East North Central
LAB-CHA-016,"Champaign, Illinois",Production Supervisor,19.29,2080,Union,production,East North Central
LAB-CHA-017,"Champaign, Illinois",Production Supervisor,22.49,2080,Union,production,East North Central
LAB-CHA-018,"Champaign, Illinois",Packaging Operator,19.83,2080,Union,non-production,East North Central
LAB-MAD-019,"Madison, Wisconsin",Production Supervisor,23.19,2080,Union,production,East North Central
LAB-MAD-020,"Madison, Wisconsin",Line Lead,24.37,2080,Union,production,East North Central
LAB-MAD-021,"Madison, Wisconsin",Quality Inspector,18.25,2080,Non-Union,non-production,East North Central
LAB-MAD-022,"Madison, Wisconsin",Production Supervisor,23.63,2080,Non-Union,production,East North Central
LAB-MAD-023,"Madison, Wisconsin",Quality Inspector,14,2080,Non-Union,non-production,East North Central
LAB-MAD-024,"Madison, Wisconsin",Production Operator,16.81,2080,Union,non-production,East North Central
LAB-MAD-025,"Madison, Wisconsin",Quality Inspector,14.4,2080,Union,non-production,East North Central
LAB-MAD-026,"Madison, Wisconsin",Production Supervisor,22.78,2080,Union,production,East North Central
LAB-MAD-027,"Madison, Wisconsin",Line Lead,18.18,2080,Non-Union,production,East North Central
LAB-MAD-028,"Madison, Wisconsin",Production Operator,19.64,2080,Union,non-production,East North Central
LAB-MAD-029,"Madison, Wisconsin",Line Lead,21.4,2080,Union,production,East North Central
LAB-MAD-030,"Madison, Wisconsin",Line Lead,18.73,2080,Non-Union,production,East North Central
LAB-MAD-031,"Madison, Wisconsin",Production Operator,17.97,2080,Non-Union,non-production,East North Central
LAB-MAD-032,"Madison, Wisconsin",Production Supervisor,22.94,2080,Union,production,East North Central
LAB-MAD-033,"Madison, Wisconsin",Quality Inspector,17.24,2080,Non-Union,non-production,East North Central
LAB-MAD-034,"Madison, Wisconsin",Production Supervisor,22.01,2080,Non-Union,production,East North Central
LAB-MAD-035,"Madison, Wisconsin",Production Supervisor,22.27,2080,Union,production,East North Central
LAB-MAD-036,"Madison, Wisconsin",Line Lead,22.7,2080,Non-Union,production,East North Central
LAB-MAD-037,"Madison, Wisconsin",Quality Inspector,19.1,2080,Union,non-production,East North Central
LAB-MAD-038,"Madison, Wisconsin",Production Supervisor,20.75,2080,Union,production,East North Central
LAB-MAD-039,"Madison, Wisconsin",Production Supervisor,23.53,2080,Union,production,East North Central
LAB-MAD-040,"Madison, Wisconsin",Production Operator,19.8,2080,Union,non-production,East North Central
LAB-MAD-041,"Madison, Wisconsin",Production Operator,16.78,2080,Non-Union,non-production,East North Central
LAB-MAD-042,"Madison, Wisconsin",Quality Inspector,16.66,2080,Union,non-production,East North Central
LAB-DAV-043,"Davenport, Iowa",Line Lead,21.04,2080,Union,production,West North Central
LAB-DAV-044,"Davenport, Iowa",Maintenance Tech,19.16,2080,Union,non-production,West North Central
LAB-DAV-045,"Davenport, Iowa",Packaging Operator,18.53,2080,Union,non-production,West North Central
LAB-DAV-046,"Davenport, Iowa",Maintenance Tech,17.6,2080,Union,non-production,West North Central
LAB-DAV-047,"Davenport, Iowa",Line Lead,23.47,2080,Union,production,West North Central
LAB-DAV-048,"Davenport, Iowa",Production Operator,16.9,2080,Union,non-production,West North Central
LAB-DAV-049,"Davenport, Iowa",Line Lead,20.25,2080,Non-Union,production,West North Central
LAB-DAV-050,"Davenport, Iowa",Production Supervisor,22.18,2080,Non-Union,production,West North Central
LAB-DAV-051,"Davenport, Iowa",Maintenance Tech,20.65,2080,Non-Union,non-production,West North Central
LAB-DAV-052,"Davenport, Iowa",Maintenance Tech,18.82,2080,Union,non-production,West North Central
LAB-DAV-053,"Davenport, Iowa",Production Supervisor,20.71,2080,Union,production,West North Central
LAB-DAV-054,"Davenport, Iowa",Production Supervisor,22.25,2080,Union,production,West North Central
LAB-DAV-055,"Davenport, Iowa",Production Supervisor,22.32,2080,Union,production,West North Central
LAB-DAV-056,"Davenport, Iowa",Production Supervisor,21.11,2080,Non-Union,production,West North Central
LAB-DAV-057,"Davenport, Iowa",Quality Inspector,19.31,2080,Union,non-production,West North Central
LAB-DAV-058,"Davenport, Iowa",Production Operator,19.61,2080,Non-Union,non-production,West North Central
LAB-DAV-059,"Davenport, Iowa",Production Operator,17.29,2080,Union,non-production,West North Central
LAB-DAV-060,"Davenport, Iowa",Maintenance Tech,18.36,2080,Non-Union,non-production,West North Central
LAB-DAV-061,"Davenport, Iowa",Production Operator,16.26,2080,Non-Union,non-production,West North Central
