equipment_id,plant,product_family,equipment_type,scheduled_hours,actual_hours,standard_hours,labor_hours,scrap_rate,oee,unplanned_downtime_hours,units_produced,cogs_per_ton,failure_cost
EQ-BLO-000,"Bloomington, Illinois",Condiments,Pasteurizer,2262,1987,2001,2884,0.0951,0.8394,370,426859,1607.46,12495.29
EQ-BLO-001,"Bloomington, Illinois",Canned Vegetables,Labeler,4785,4582,4577,992,0.0558,0.7335,282,119587,1920.64,13964.48
EQ-BLO-002,"Bloomington, Illinois",Canned Vegetables,Mixer,4866,3428,4703,1861,0.0397,0.7467,427,574826,1696.59,36281.24
EQ-BLO-003,"Bloomington, Illinois",Sauces,Pasteurizer,3010,2567,2971,650,0.0596,0.7572,330,289729,1215.91,15655.12
EQ-BLO-004,"Bloomington, Illinois",Sauces,Boiler,2685,2466,2539,1341,0.0504,0.8273,263,327063,1656.69,16807.6
EQ-BLO-005,"Bloomington, Illinois",Sauces,Filler,2281,1828,2026,2880,0.0719,0.8914,424,193862,1272.88,17418.47
EQ-BLO-006,"Bloomington, Illinois",Sauces,Boiler,2321,2184,2153,1642,0.0406,0.6064,371,491409,1593.63,46041.53
EQ-BLO-007,"Bloomington, Illinois",Canned Vegetables,Conveyor,2001,1524,1967,2189,0.0414,0.8586,256,152786,1967.8,31417.51
EQ-BLO-008,"Bloomington, Illinois",Sauces,Conveyor,2926,2514,2640,1491,0.0887,0.7622,104,274890,1948.73,32992.19
EQ-BLO-009,"Bloomington, Illinois",Canned Vegetables,Labeler,2623,2022,2241,936,0.0587,0.7564,219,273662,857.2,6675.55
EQ-BLO-010,"Bloomington, Illinois",Condiments,Mixer,2622,1891,2547,1047,0.0543,0.7882,406,154020,1550.92,39035.73
EQ-BLO-011,"Bloomington, Illinois",Sauces,Labeler,3147,2868,2972,1723,0.0969,0.773,129,556922,815.28,14647.17
EQ-BLO-012,"Bloomington, Illinois",Condiments,Labeler,3339,3264,3029,2763,0.0588,0.7485,366,290627,1099.19,38934.88
EQ-BLO-013,"Bloomington, Illinois",Canned Vegetables,Mixer,2100,1871,1907,2011,0.0482,0.716,495,566348,1113.84,7847.72
EQ-BLO-014,"Bloomington, Illinois",Condiments,Mixer,4302,3207,3926,1669,0.0812,0.7982,211,138027,1945.28,30692.45
EQ-BLO-015,"Bloomington, Illinois",Condiments,Sealer,3581,2880,3279,1014,0.0893,0.7877,185,199455,906.06,6243.1
EQ-BLO-016,"Bloomington, Illinois",Condiments,Filler,4133,3432,4010,2131,0.0992,0.7796,497,422942,1182.52,43492.97
EQ-BLO-017,"Bloomington, Illinois",Condiments,Mixer,2172,1700,2079,1346,0.0412,0.7808,348,133848,1253.38,44711.24
EQ-BLO-018,"Bloomington, Illinois",Canned Vegetables,Pasteurizer,3380,3140,3249,731,0.0471,0.7882,213,452578,1204.67,49286.95
EQ-BLO-019,"Bloomington, Illinois",Condiments,Mixer,4753,4639,4499,965,0.0913,0.7753,95,464591,1232.94,32756.86
EQ-BLO-020,"Bloomington, Illinois",Canned Vegetables,Labeler,3773,3381,3520,2287,0.0645,0.775,471,349466,1192.95,49000.23
EQ-BLO-021,"Bloomington, Illinois",Sauces,Labeler,2495,1934,2395,875,0.0672,0.6849,208,407447,1822.28,20092.23
EQ-BLO-022,"Bloomington, Illinois",Sauces,Conveyor,3429,2404,3324,2064,0.0961,0.6782,297,557957,1230.61,37065.7
EQ-BLO-023,"Bloomington, Illinois",Condiments,Labeler,4576,4199,4107,678,0.038,0.7118,303,253751,1364.84,36907.13
EQ-BLO-024,"Bloomington, Illinois",Sauces,Filler,3109,2940,2807,1622,0.0799,0.772,127,556040,1763.34,36888.92
EQ-BLO-025,"Bloomington, Illinois",Condiments,Sealer,4504,4305,4133,2832,0.0858,0.769,381,254537,1090.31,5696.76
EQ-BLO-026,"Bloomington, Illinois",Canned Vegetables,Boiler,4851,3964,4817,1121,0.0593,0.7236,268,243447,858.28,14930.68
EQ-BLO-027,"Bloomington, Illinois",Canned Vegetables,Filler,4498,4140,3866,2104,0.059,0.7084,423,325572,1780.64,18771.36
EQ-BLO-028,"Bloomington, Illinois",Condiments,Boiler,2303,2114,2187,672,0.0402,0.7597,395,210819,1531.61,29472.25
EQ-BLO-029,"Bloomington, Illinois",Sauces,Conveyor,4836,3821,4716,818,0.0824,0.7285,338,375414,845.65,24125.91
EQ-BLO-030,"Bloomington, Illinois",Condiments,Labeler,4816,4390,4808,1329,0.062,0.6554,400,565015,1154.76,43673.51
EQ-BLO-031,"Bloomington, Illinois",Condiments,Mixer,2336,1860,2159,2166,0.0963,0.8131,455,155901,1463.08,17556.22
EQ-BLO-032,"Bloomington, Illinois",Condiments,Boiler,2743,2138,2513,2250,0.0732,0.707,260,571227,860.64,26926.38
EQ-BLO-033,"Bloomington, Illinois",Canned Vegetables,Sealer,4433,3686,4424,2251,0.0548,0.7694,78,174511,1174.77,18197.93
EQ-BLO-034,"Bloomington, Illinois",Condiments,Labeler,4751,4433,4653,2198,0.0303,0.7216,54,481049,1157.77,29726.01
EQ-BLO-035,"Bloomington, Illinois",Canned Vegetables,Labeler,4312,3048,3681,1913,0.0832,0.8092,212,436013,1176.95,18630.13
EQ-BLO-036,"Bloomington, Illinois",Sauces,Pasteurizer,3619,2700,3514,1073,0.0483,0.8695,335,195614,1234.77,38622.55
EQ-BLO-037,"Bloomington, Illinois",Sauces,Filler,1601,1512,1581,1320,0.0892,0.6425,258,324996,1010.25,13450.67
EQ-BLO-038,"Bloomington, Illinois",Canned Vegetables,Filler,4898,3819,4693,2524,0.0515,0.7872,426,188425,1059.01,28216.7
