employee_id,plant,role,hourly_wage,annual_hours,union_status,supervisor_type,census_division
LAB-CHA-000,"Champaign, Illinois",Production Supervisor,21.31,2080,Union,production,East North Central
LAB-CHA-001,"Champaign, Illinois",Production Supervisor,21.37,2080,Non-Union,production,East North Central
LAB-CHA-002,"Champaign, Illinois",Maintenance Tech,17.32,2080,Union,non-production,East North Central
LAB-CHA-003,"Champaign, Illinois",Maintenance Tech,18.48,2080,Union,non-production,East North Central
LAB-CHA-004,"Champaign, Illinois",Line Lead,18.9,2080,Union,production,East North Central
LAB-CHA-005,"Champaign, Illinois",Maintenance Tech,16.22,2080,Non-Union,non-production,East North Central
LAB-CHA-006,"Champaign, Illinois",Quality Inspector,19.89,2080,Union,non-production,East North Central
LAB-CHA-007,"Champaign, Illinois",Line Lead,21.84,2080,Union,production,East North Central
LAB-CHA-008,"Champaign, Illinois",Packaging Operator,17.91,2080,Union,non-production,East North Central
LAB-CHA-009,"Champaign, Illinois",Production Operator,18.34,2080,Non-Union,non-production,East North Central
LAB-CHA-010,"Champaign, Illinois",Production Supervisor,21.73,2080,Non-Union,production,East North Central
LAB-CHA-011,"Champaign, Illinois",Maintenance Tech,17.29,2080,Union,non-production,East North Central
LAB-CHA-012,"Champaign, Illinois",Quality Inspector,18.15,2080,Union,non-production,East North Central
LAB-CHA-013,"Champaign, Illinois",Line Lead,22.17,2080,Union,production,East North Central
LAB-CHA-014,"Champaign, Illinois",Line Lead,20.67,2080,Non-Union,production,East North Central
LAB-CHA-015,"Champaign, Illinois",Maintenance Tech,18.25,2080,Non-Union,non-production,East North Central
LAB-CHA-016,"Champaign, Illinois",Production Supervisor,21.0,2080,Non-Union,production,East North Central
LAB-CHA-017,"Champaign, Illinois",Quality Inspector,16.1,2080,Union,non-production,East North Central
LAB-CHA-018,"Champaign, Illinois",Maintenance Tech,19.37,2080,Union,non-production,East North Central
LAB-CHA-019,"Champaign, Illinois",Maintenance Tech,16.5,2080,Union,non-production,East North Central
LAB-CHA-020,"Champaign, Illinois",Production Supervisor,17.54,2080,Non-Union,production,East North Central
LAB-CHA-021,"Champaign, Illinois",Quality Inspector,20.87,2080,Non-Union,non-production,East North Central
LAB-CHA-022,"Champaign, Illinois",Quality Inspector,18.54,2080,Non-Union,non-production,East North Central
LAB-RAC-023,"Racine, Wisconsin",Production Supervisor,21.99,2080,Union,production,East North Central
LAB-RAC-024,"Racine, Wisconsin",Packaging Operator,14.84,2080,Union,non-production,East North Central
LAB-RAC-025,"Racine, Wisconsin",Maintenance Tech,17.36,2080,Non-Union,non-production,East North Central
LAB-RAC-026,"Racine, Wisconsin",Production Operator,17.39,2080,Non-Union,non-production,East North Central
LAB-RAC-027,"Racine, Wisconsin",Packaging Operator,17.53,2080,Non-Union,non-production,East North Central
LAB-RAC-028,"Racine, Wisconsin",Packaging Operator,15.24,2080,Non-Union,non-production,East North Central
LAB-RAC-029,"Racine, Wisconsin",Line Lead,22.65,2080,Non-Union,production,East North Central
