employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Toledo, Ohio",Plant Management,Management,7.9,5.8,Yes,1-2 days,Yes,8.9,14.1,4.2,41.25,No,,2.4,Non-Union
EMP-0001,"Toledo, Ohio",Plant Management,Management,6.3,5.9,Yes,1-2 days,No,17.3,13.6,8.7,44.35,No,,2.1,Non-Union
EMP-0002,"Toledo, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,7.2,2.8,No,<1 day,No,11.7,9.8,5.1,27.91,Yes,Good- adequate for most needs,2.5,Non-Union
EMP-0003,"Racine, Wisconsin",Administrative/Support Staff,Back-office/Support,5.4,2.3,Yes,<1 day,No,4.0,2.7,0.7,21.01,No,,4.2,Non-Union
EMP-0004,"Iowa City, Iowa",Production/Manufacturing Operator,Front-line,3.9,5.5,No,1-2 days,Yes,2.8,2.7,2.6,21.39,No,,3.1,Non-Union
EMP-0005,"Racine, Wisconsin",Demand Planning/Forecasting,Back-office/Support,5.6,7.0,Yes,1-2 days,No,1.2,2.2,2.0,32.0,Yes,Fair- some gaps or inconsistencies,3.1,Non-Union
EMP-0006,"Racine, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,6.5,6.3,Yes,<1 day,No,4.4,0.0,1.5,25.04,No,,4.0,Union
EMP-0007,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,5.8,1.1,No,<1 day,No,9.0,8.4,5.4,15.55,Yes,Good- adequate for most needs,2.9,Non-Union
EMP-0008,"Detroit, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,2.7,7.4,Yes,>2 days,Yes,16.6,7.3,5.1,29.15,No,,2.3,Non-Union
EMP-0009,"Racine, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,4.8,2.5,No,>2 days,Yes,0.7,2.1,3.1,25.45,No,,4.7,Union
EMP-0010,"Racine, Wisconsin",Administrative/Support Staff,Back-office/Support,6.5,5.1,Yes,<1 day,No,1.8,0.6,0.9,15.79,Yes,Poor - insufficient or unhelpful,4.2,Union
EMP-0011,"Racine, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,1.5,3.9,No,1-2 days,Yes,1.8,4.9,2.4,27.18,No,,3.2,Non-Union
EMP-0012,"Toledo, Ohio",Demand Planning/Forecasting,Back-office/Support,5.0,3.7,No,1-2 days,No,18.4,16.1,7.5,30.34,No,,3.1,Union
EMP-0013,"Toledo, Ohio",Production/Manufacturing Operator,Front-line,4.4,8.0,No,1-2 days,No,28.1,6.0,11.6,17.73,No,,3.6,Union
EMP-0014,"Iowa City, Iowa",Administrative/Support Staff,Back-office/Support,3.7,8.3,No,>2 days,Yes,7.3,0.6,2.1,23.19,No,,3.5,Union
EMP-0015,"Iowa City, Iowa",Production/Manufacturing Operator,Front-line,3.4,3.7,No,<1 day,Yes,0.7,3.3,0.2,21.15,Yes,Good- adequate for most needs,1,Non-Union
EMP-0016,"Iowa City, Iowa",Production/Manufacturing Operator,Front-line,4.0,5.2,Yes,>2 days,Yes,6.7,1.7,2.5,20.63,Yes,Fair- some gaps or inconsistencies,2.8,Non-Union
EMP-0017,"Racine, Wisconsin",Administrative/Support Staff,Back-office/Support,7.9,4.4,Yes,<1 day,Yes,0.8,1.1,1.1,20.5,Yes,Poor - insufficient or unhelpful,3.8,Union
EMP-0018,"Racine, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,4.8,6.1,No,>2 days,No,1.2,0.9,0.3,24.8,Yes,Good- adequate for most needs,4.1,Non-Union
EMP-0019,"Toledo, Ohio",Administrative/Support Staff,Back-office/Support,3.8,2.9,Yes,1-2 days,Yes,12.1,9.2,7.5,19.79,Yes,Good- adequate for most needs,2.9,Non-Union
EMP-0020,"Toledo, Ohio",Production/Manufacturing Operator,Front-line,5.0,5.9,No,<1 day,Yes,13.1,15.1,10.1,16.46,No,,3.4,Union
EMP-0021,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,2.1,4.2,Yes,<1 day,Yes,19.9,12.0,4.7,15.19,Yes,Excellent- comprehensive and very helpful,2.1,Non-Union
EMP-0022,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,4.5,3.9,Yes,1-2 days,Yes,20.2,4.8,4.7,19.03,Yes,Fair- some gaps or inconsistencies,3.6,Non-Union
EMP-0023,"Detroit, Michigan",Quality Control/Quality Assurance,Front-line,6.4,5.6,Yes,>2 days,No,21.2,11.9,7.4,21.38,No,,4.5,Union
