employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Cleveland, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,5.8,8.0,No,>2 days,No,8.1,16.0,10.4,27.51,Yes,Fair- some gaps or inconsistencies,2.6,Non-Union
EMP-0001,"Madison, Wisconsin",Administrative/Support Staff,Back-office/Support,6.2,2.3,No,1-2 days,Yes,1.4,3.8,2.7,25.72,Yes,Good- adequate for most needs,3.8,Union
EMP-0002,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,4.7,4.5,No,<1 day,No,4.1,0.2,0.2,19.31,Yes,Good- adequate for most needs,1.5,Non-Union
EMP-0003,"Rockford, Illinois",Plant Management,Management,10,6.3,No,>2 days,No,1.5,4.5,3.1,44.44,No,,2.3,Non-Union
EMP-0004,"Madison, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,4.1,7.2,No,<1 day,No,0.5,4.0,2.9,23.94,Yes,Good- adequate for most needs,3.4,Union
EMP-0005,"Rockford, Illinois",Maintenance Technician,Front-line,8.1,7.0,No,1-2 days,Yes,4.8,0.2,2.6,25.93,Yes,Fair- some gaps or inconsistencies,2.0,Union
EMP-0006,"Rockford, Illinois",Maintenance Technician,Front-line,2.4,3.2,No,>2 days,Yes,5.2,3.5,2.6,25.84,No,,1.6,Union
EMP-0007,"Cleveland, Ohio",Administrative/Support Staff,Back-office/Support,7.9,9.4,No,>2 days,Yes,27.1,8.2,3.6,20.21,Yes,Excellent- comprehensive and very helpful,4.3,Union
EMP-0008,"Des Moines, Iowa",Quality Control/Quality Assurance,Front-line,4.7,10,No,>2 days,Yes,6.3,4.6,1.4,20.98,No,,3.1,Non-Union
EMP-0009,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,3.8,9.1,Yes,>2 days,Yes,6.0,4.2,2.4,29.11,No,,1.6,Non-Union
EMP-0010,"Des Moines, Iowa",Quality Control/Quality Assurance,Front-line,4.2,5.5,Yes,>2 days,Yes,5.3,1.5,0.0,19.27,No,,3.0,Non-Union
EMP-0011,"Madison, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,6.2,5.1,Yes,>2 days,No,4.9,1.9,0.7,28.93,Yes,Fair- some gaps or inconsistencies,4.0,Non-Union
EMP-0012,"Cleveland, Ohio",Quality Control/Quality Assurance,Front-line,8.6,9.5,Yes,<1 day,Yes,21.7,14.7,3.5,18.6,Yes,Excellent- comprehensive and very helpful,3.5,Union
EMP-0013,"Cleveland, Ohio",Production/Manufacturing Operator,Front-line,1,5.3,Yes,1-2 days,No,20.3,13.0,11.6,16.07,No,,3.2,Union
EMP-0014,"Flint, Michigan",Production/Manufacturing Operator,Front-line,3.3,6.7,No,1-2 days,No,9.2,14.4,5.7,17.41,No,,4.7,Non-Union
EMP-0015,"Flint, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,1.3,3.6,No,<1 day,Yes,29.7,6.3,11.3,29.02,No,,3.4,Non-Union
EMP-0016,"Flint, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,4.7,6.4,Yes,>2 days,Yes,26.3,5.1,10.8,23.12,No,,4.1,Union
