employee_id,plant,role,hourly_wage,annual_hours,union_status,supervisor_type,census_division
LAB-ROC-000,"Rockford, Illinois",Line Lead,19.49,2080,Non-Union,production,East North Central
LAB-ROC-001,"Rockford, Illinois",Packaging Operator,19.16,2080,Union,non-production,East North Central
LAB-ROC-002,"Rockford, Illinois",Production Supervisor,22.32,2080,Union,production,East North Central
LAB-ROC-003,"Rockford, Illinois",Line Lead,21.61,2080,Union,production,East North Central
LAB-ROC-004,"Rockford, Illinois",Maintenance Tech,14.78,2080,Union,non-production,East North Central
LAB-ROC-005,"Rockford, Illinois",Production Operator,18.65,2080,Union,non-production,East North Central
LAB-ROC-006,"Rockford, Illinois",Production Supervisor,18.31,2080,Union,production,East North Central
LAB-ROC-007,"Rockford, Illinois",Production Operator,21.15,2080,Union,non-production,East North Central
LAB-ROC-008,"Rockford, Illinois",Production Supervisor,22.02,2080,Non-Union,production,East North Central
LAB-ROC-009,"Rockford, Illinois",Maintenance Tech,20.57,2080,Union,non-production,East North Central
LAB-ROC-010,"Rockford, Illinois",Quality Inspector,15.97,2080,Union,non-production,East North Central
LAB-ROC-011,"Rockford, Illinois",Line Lead,25.59,2080,Union,production,East North Central
LAB-ROC-012,"Rockford, Illinois",Packaging Operator,19.39,2080,Non-Union,non-production,East North Central
LAB-ROC-013,"Rockford, Illinois",Production Supervisor,18.29,2080,Union,production,East North Central
LAB-ROC-014,"Rockford, Illinois",Packaging Operator,14,2080,Non-Union,non-production,East North Central
LAB-ROC-015,"Rockford, Illinois",Line Lead,20.4,2080,Non-Union,production,East North Central
LAB-ROC-016,"Rockford, Illinois",Line Lead,19.29,2080,Union,production,East North Central
LAB-ROC-017,"Rockford, Illinois",Production Supervisor,19.77,2080,Non-Union,production,East North Central
LAB-KEN-018,"Kenosha, Wisconsin",Production Operator,19.62,2080,Non-Union,non-production,East North Central
LAB-KEN-019,"Kenosha, Wisconsin",Production Operator,23.34,2080,Union,non-production,East North Central
LAB-KEN-020,"Kenosha, Wisconsin",Quality Inspector,18.89,2080,Union,non-production,East North Central
LAB-KEN-021,"Kenosha, Wisconsin",Production Supervisor,20.73,2080,Non-Union,production,East North Central
LAB-KEN-022,"Kenosha, Wisconsin",Line Lead,23.14,2080,Non-Union,production,East North Central
LAB-KEN-023,"Kenosha, Wisconsin",Packaging Operator,18.63,2080,Non-Union,non-production,East North Central
LAB-KEN-024,"Kenosha, Wisconsin",Production Operator,22.55,2080,Non-Union,non-production,East North Central
LAB-KEN-025,"Kenosha, Wisconsin",Packaging Operator,17.66,2080,Non-Union,non-production,East North Central
LAB-KEN-026,"Kenosha, Wisconsin",Production Supervisor,20.99,2080,Non-Union,production,East North Central
LAB-KEN-027,"Kenosha, Wisconsin",Line Lead,24.74,2080,Union,production,East North Central
LAB-KEN-028,"Kenosha, Wisconsin",Production Operator,19.32,2080,Union,non-production,East North Central
LAB-KEN-029,"Kenosha, Wisconsin",Production Supervisor,21.11,2080,Non-Union,production,East North Central
LAB-KEN-030,"Kenosha, Wisconsin",Maintenance Tech,19.81,2080,Non-Union,non-production,East North Central
LAB-KEN-031,"Kenosha, Wisconsin",Production Supervisor,22.59,2080,Non-Union,production,East North Central
LAB-KEN-032,"Kenosha, Wisconsin",Production Supervisor,26.09,2080,Non-Union,production,East North Central
LAB-KEN-033,"Kenosha, Wisconsin",Packaging Operator,21.36,2080,Non-Union,non-production,East North Central
LAB-KEN-034,"Kenosha, Wisconsin",Production Supervisor,19.25,2080,Union,production,East North Central
LAB-KEN-035,"Kenosha, Wisconsin",Maintenance Tech,17.85,2080,Non-Union,non-production,East North Central
LAB-KEN-036,"Kenosha, Wisconsin",Quality Inspector,18.02,2080,Non-Union,non-production,East North Central
LAB-KEN-037,"Kenosha, Wisconsin",Line Lead,24.06,2080,Union,production,East North Central
LAB-KEN-038,"Kenosha, Wisconsin",Maintenance Tech,17.25,2080,Non-Union,non-production,East North Central
LAB-KEN-039,"Kenosha, Wisconsin",Production Supervisor,20.56,2080,Non-Union,production,East North Central
LAB-DAV-040,"Davenport, Iowa",Packaging Operator,20.56,2080,Union,non-production,West North Central
LAB-DAV-041,"Davenport, Iowa",Line Lead,19.39,2080,Non-Union,production,West North Central
LAB-DAV-042,"Davenport, Iowa",Production Operator,20.74,2080,Non-Union,non-production,West North Central
LAB-DAV-043,"Davenport, Iowa",Line Lead,21.43,2080,Non-Union,production,West North Central
LAB-DAV-044,"Davenport, Iowa",Line Lead,19.21,2080,Non-Union,production,West North Central
LAB-DAV-045,"Davenport, Iowa",Production Supervisor,21.13,2080,Non-Union,production,West North Central
LAB-DAV-046,"Davenport, Iowa",Packaging Operator,17.38,2080,Union,non-production,West North Central
LAB-DAV-047,"Davenport, Iowa",Packaging Operator,18.35,2080,Union,non-production,West North Central
LAB-DAV-048,"Davenport, Iowa",Maintenance Tech,14.82,2080,Union,non-production,West North Central
LAB-DAV-049,"Davenport, Iowa",Maintenance Tech,17.53,2080,Non-Union,non-production,West North Central
LAB-DAV-050,"Davenport, Iowa",Production Operator,19.19,2080,Non-Union,non-production,West North Central
LAB-DAV-051,"Davenport, Iowa",Maintenance Tech,17.08,2080,Union,non-production,West North Central
LAB-DAV-052,"Davenport, Iowa",Line Lead,22.32,2080,Non-Union,production,West North Central
LAB-DAV-053,"Davenport, Iowa",Quality Inspector,20.71,2080,Non-Union,non-production,West North Central
LAB-DAV-054,"Davenport, Iowa",Maintenance Tech,16.14,2080,Non-Union,non-production,West North Central
