equipment_id,plant,product_family,scrap_cost,unplanned_failure_cost
EQ-ROC-000,"Rockford, Illinois",Condiments,63031.67,3003.41
EQ-ROC-001,"Rockford, Illinois",Canned Vegetables,39608.31,23491.53
EQ-ROC-002,"Rockford, Illinois",Canned Vegetables,22662.82,15758.09
EQ-ROC-003,"Rockford, Illinois",Condiments,28138.13,3959.77
EQ-ROC-004,"Rockford, Illinois",Canned Vegetables,34807.21,8549.08
EQ-ROC-005,"Rockford, Illinois",Condiments,16945.48,10716.9
EQ-ROC-006,"Rockford, Illinois",Condiments,15164.71,26354.39
EQ-ROC-007,"Rockford, Illinois",Condiments,32222.23,8582.76
EQ-ROC-008,"Rockford, Illinois",Condiments,16383.76,11802.42
EQ-ROC-009,"Rockford, Illinois",Sauces,13702.7,13495.17
EQ-ROC-010,"Rockford, Illinois",Condiments,29346.94,23976.84
EQ-ROC-011,"Rockford, Illinois",Condiments,19137.85,22392.63
EQ-ROC-012,"Rockford, Illinois",Condiments,32270.53,23396.43
EQ-ROC-013,"Rockford, Illinois",Canned Vegetables,34824.26,20265.91
EQ-ROC-014,"Rockford, Illinois",Sauces,4093.75,23213.32
EQ-ROC-015,"Rockford, Illinois",Sauces,20116.54,19563.28
EQ-ROC-016,"Rockford, Illinois",Canned Vegetables,9018.3,15676.98
EQ-ROC-017,"Rockford, Illinois",Condiments,54597.99,16233.3
EQ-ROC-018,"Rockford, Illinois",Sauces,34136.53,7413.19
EQ-ROC-019,"Rockford, Illinois",Sauces,30856.63,3203.71
EQ-ROC-020,"Rockford, Illinois",Condiments,16860.74,21697.94
EQ-ROC-021,"Rockford, Illinois",Sauces,25311.81,9854.99
EQ-ROC-022,"Rockford, Illinois",Canned Vegetables,46374.08,4585.96
EQ-ROC-023,"Rockford, Illinois",Condiments,51643.83,25120.83
EQ-ROC-024,"Rockford, Illinois",Sauces,9365.29,18403.22
EQ-ROC-025,"Rockford, Illinois",Condiments,15369.87,3546.98
EQ-ROC-026,"Rockford, Illinois",Condiments,5853.51,14416.35
EQ-ROC-027,"Rockford, Illinois",Canned Vegetables,15956.36,10862.24
EQ-ROC-028,"Rockford, Illinois",Condiments,58257.63,27345.69
EQ-ROC-029,"Rockford, Illinois",Sauces,40826.85,17526.2
EQ-ROC-030,"Rockford, Illinois",Canned Vegetables,41932.14,4212.39
EQ-ROC-031,"Rockford, Illinois",Canned Vegetables,80162.09,4956.6
EQ-ROC-032,"Rockford, Illinois",Canned Vegetables,38175.18,13286.63
EQ-ROC-033,"Rockford, Illinois",Canned Vegetables,21195.76,11375.36
EQ-ROC-034,"Rockford, Illinois",Sauces,60343.67,26297.49
EQ-ROC-035,"Rockford, Illinois",Condiments,19890.07,18646.05
EQ-ROC-036,"Rockford, Illinois",Sauces,31500.23,16762.07
EQ-ROC-037,"Rockford, Illinois",Sauces,40299.76,29966.18
EQ-ROC-038,"Rockford, Illinois",Sauces,27096.87,16355.32
EQ-ROC-039,"Rockford, Illinois",Canned Vegetables,26590.63,24378.11
EQ-ROC-040,"Rockford, Illinois",Condiments,46008.75,21212.35
EQ-ROC-041,"Rockford, Illinois",Condiments,7693.6,22263.71
EQ-ROC-042,"Rockford, Illinois",Sauces,14824.06,24340.14
EQ-ROC-043,"Rockford, Illinois",Canned Vegetables,8862.58,20702.66
EQ-ROC-044,"Rockford, Illinois",Canned Vegetables,22679.03,5956.06
EQ-ROC-045,"Rockford, Illinois",Condiments,46961.66,6389.49
EQ-ROC-046,"Rockford, Illinois",Canned Vegetables,16559.86,16906.71
EQ-ROC-047,"Rockford, Illinois",Condiments,29800.29,20998.77
EQ-GRE-048,"Green Bay, Wisconsin",Sauces,9503.05,27479.56
EQ-GRE-049,"Green Bay, Wisconsin",Condiments,49342.67,12535.74
EQ-GRE-050,"Green Bay, Wisconsin",Sauces,20377.58,26216.84
EQ-GRE-051,"Green Bay, Wisconsin",Canned Vegetables,24804.51,18550.66
EQ-GRE-052,"Green Bay, Wisconsin",Sauces,16002.07,3121.7
EQ-GRE-053,"Green Bay, Wisconsin",Canned Vegetables,30291.87,17711.22
EQ-GRE-054,"Green Bay, Wisconsin",Canned Vegetables,30962.19,11840.76
EQ-GRE-055,"Green Bay, Wisconsin",Condiments,19626.78,22613.11
EQ-GRE-056,"Green Bay, Wisconsin",Canned Vegetables,6321.15,13501.75
EQ-GRE-057,"Green Bay, Wisconsin",Condiments,74533.43,22209.78
EQ-GRE-058,"Green Bay, Wisconsin",Canned Vegetables,45571.47,11250.33
EQ-GRE-059,"Green Bay, Wisconsin",Sauces,19304.39,21627.56
EQ-GRE-060,"Green Bay, Wisconsin",Condiments,17904.0,15100.88
EQ-GRE-061,"Green Bay, Wisconsin",Condiments,22127.69,7345.58
EQ-GRE-062,"Green Bay, Wisconsin",Condiments,14846.76,19231.81
EQ-GRE-063,"Green Bay, Wisconsin",Condiments,85662.84,5384.52
EQ-GRE-064,"Green Bay, Wisconsin",Canned Vegetables,16677.22,21656.05
EQ-GRE-065,"Green Bay, Wisconsin",Condiments,26429.63,27030.1
EQ-GRE-066,"Green Bay, Wisconsin",Sauces,51751.76,17141.86
EQ-GRE-067,"Green Bay, Wisconsin",Canned Vegetables,15741.17,12365.5
EQ-GRE-068,"Green Bay, Wisconsin",Canned Vegetables,14060.73,11085.6
EQ-GRE-069,"Green Bay, Wisconsin",Canned Vegetables,21156.45,23015.19
EQ-GRE-070,"Green Bay, Wisconsin",Condiments,28585.43,6416.96
EQ-GRE-071,"Green Bay, Wisconsin",Condiments,34244.62,20445.77
EQ-GRE-072,"Green Bay, Wisconsin",Sauces,35483.25,24586.74
EQ-GRE-073,"Green Bay, Wisconsin",Canned Vegetables,8857.83,24080.52
EQ-GRE-074,"Green Bay, Wisconsin",Canned Vegetables,30638.27,23984.25
EQ-GRE-075,"Green Bay, Wisconsin",Sauces,22064.95,13393.55
EQ-GRE-076,"Green Bay, Wisconsin",Sauces,35588.01,14354.38
EQ-GRE-077,"Green Bay, Wisconsin",Condiments,11324.35,6883.16
EQ-GRE-078,"Green Bay, Wisconsin",Sauces,38072.59,21760.94
EQ-GRE-079,"Green Bay, Wisconsin",Sauces,58757.64,13274.42
