employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,3.9,5.9,No,<1 day,No,27.2,7.0,7.9,17.82,No,,3.0,Non-Union
EMP-0001,"Cincinnati, Ohio",Maintenance Technician,Front-line,6.0,5.8,No,>2 days,No,27.6,5.7,6.8,24.41,No,,2.9,Union
EMP-0002,"Cincinnati, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,7.6,6.0,No,1-2 days,No,12.6,5.4,5.0,21.41,Yes,Poor - insufficient or unhelpful,2.4,Non-Union
EMP-0003,"Green Bay, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,6.4,5.4,Yes,1-2 days,Yes,7.0,2.2,2.1,24.31,Yes,Fair- some gaps or inconsistencies,3.7,Union
EMP-0004,"Green Bay, Wisconsin",Quality Control/Quality Assurance,Front-line,1,3.6,No,1-2 days,Yes,5.6,2.1,0.6,18.7,No,,2.9,Union
EMP-0005,"Cincinnati, Ohio",Plant Management,Management,8.2,5.3,No,1-2 days,Yes,11.5,8.5,4.6,38.75,No,,3.3,Union
EMP-0006,"Iowa City, Iowa",Production/Manufacturing Operator,Front-line,8.8,7.3,Yes,<1 day,Yes,4.4,0.2,3.9,17.47,Yes,Fair- some gaps or inconsistencies,4.7,Union
EMP-0007,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,1.3,3.0,Yes,1-2 days,No,13.4,12.8,10.9,12,Yes,Poor - insufficient or unhelpful,3.9,Union
EMP-0008,"Cincinnati, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,8.5,4.7,Yes,>2 days,Yes,12.5,6.2,3.2,21.14,Yes,Fair- some gaps or inconsistencies,4.0,Non-Union
EMP-0009,"Green Bay, Wisconsin",Plant Management,Management,10,5.0,Yes,>2 days,Yes,5.3,0.8,2.9,39.17,Yes,Fair- some gaps or inconsistencies,3.7,Union
EMP-0010,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,8.6,8.7,No,<1 day,No,3.5,4.8,3.9,23.58,No,,2.5,Union
EMP-0011,"Rockford, Illinois",Administrative/Support Staff,Back-office/Support,5.4,6.9,No,<1 day,No,0.9,3.2,2.1,23.31,No,,1.6,Non-Union
EMP-0012,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,1.7,5.1,Yes,<1 day,No,25.7,9.2,11.9,14.32,No,,4.1,Union
EMP-0013,"Cincinnati, Ohio",Demand Planning/Forecasting,Back-office/Support,8.5,5.5,Yes,<1 day,No,14.1,8.4,9.0,25.84,No,,3.4,Non-Union
EMP-0014,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,5.3,9.9,No,<1 day,No,12.5,13.4,11.3,18.97,Yes,Fair- some gaps or inconsistencies,3.2,Non-Union
EMP-0015,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,6.4,5.1,No,<1 day,Yes,0.7,3.0,1.7,30.95,Yes,Fair- some gaps or inconsistencies,1,Non-Union
EMP-0016,"Cincinnati, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,3.2,4.6,Yes,1-2 days,Yes,25.0,8.8,9.0,25.08,Yes,Fair- some gaps or inconsistencies,3.2,Non-Union
EMP-0017,"Kalamazoo, Michigan",Quality Control/Quality Assurance,Front-line,8.4,5.6,Yes,>2 days,Yes,16.5,11.6,7.1,20.72,Yes,Fair- some gaps or inconsistencies,2.5,Union
EMP-0018,"Iowa City, Iowa",Administrative/Support Staff,Back-office/Support,8.5,5.5,No,<1 day,No,3.1,4.6,1.4,23.93,No,,3.2,Union
EMP-0019,"Green Bay, Wisconsin",Plant Management,Management,6.4,5.3,No,<1 day,No,6.9,2.6,1.7,43.94,Yes,Excellent- comprehensive and very helpful,2.8,Union
EMP-0020,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,8.5,3.1,Yes,<1 day,No,18.5,8.6,9.9,24.17,Yes,Good- adequate for most needs,1.9,Union
EMP-0021,"Iowa City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,6.4,6.3,No,<1 day,Yes,3.5,4.8,2.1,21.05,Yes,Good- adequate for most needs,2.2,Union
EMP-0022,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,3.6,4.8,Yes,>2 days,No,29.7,10.1,12.0,27.48,Yes,Good- adequate for most needs,2.4,Union
EMP-0023,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,5.9,6.3,No,>2 days,Yes,1.6,2.0,1.3,29.34,No,,1.8,Union
EMP-0024,"Cincinnati, Ohio",Production/Manufacturing Operator,Front-line,3.0,3.4,Yes,1-2 days,No,17.6,8.8,7.7,16.78,No,,3.8,Non-Union
EMP-0025,"Iowa City, Iowa",Plant Management,Management,8.5,6.9,No,>2 days,No,2.0,2.0,0.2,40.17,Yes,Good- adequate for most needs,3.8,Union
EMP-0026,"Green Bay, Wisconsin",Administrative/Support Staff,Back-office/Support,7.9,3.2,No,1-2 days,Yes,0.3,0.4,3.9,17.99,No,,3.3,Union
EMP-0027,"Green Bay, Wisconsin",Administrative/Support Staff,Back-office/Support,7.7,2.1,Yes,>2 days,Yes,2.6,0.6,3.2,18.16,Yes,Good- adequate for most needs,4.3,Non-Union
EMP-0028,"Cincinnati, Ohio",Quality Control/Quality Assurance,Front-line,7.0,4.7,Yes,1-2 days,Yes,23.0,17.9,3.5,21.07,No,,5,Union
EMP-0029,"Iowa City, Iowa",Quality Control/Quality Assurance,Front-line,5.3,8.1,Yes,<1 day,Yes,2.3,2.5,1.2,19.44,Yes,Good- adequate for most needs,3.6,Non-Union
EMP-0030,"Iowa City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,6.1,5.8,No,<1 day,No,4.5,2.7,3.6,22.99,Yes,Good- adequate for most needs,4.4,Union
EMP-0031,"Green Bay, Wisconsin",Administrative/Support Staff,Back-office/Support,6.7,7.7,No,<1 day,Yes,7.4,1.7,1.1,21.68,No,,3.0,Non-Union
EMP-0032,"Iowa City, Iowa",Demand Planning/Forecasting,Back-office/Support,6.1,4.9,No,1-2 days,No,1.5,0.8,4.0,29.06,Yes,Excellent- comprehensive and very helpful,2.6,Non-Union
EMP-0033,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,1,2.6,Yes,1-2 days,Yes,20.8,12.1,6.0,17.3,Yes,Excellent- comprehensive and very helpful,2.3,Non-Union
EMP-0034,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,6.0,6.0,No,>2 days,Yes,28.5,5.3,6.2,30.56,Yes,Excellent- comprehensive and very helpful,4.1,Non-Union
EMP-0035,"Cincinnati, Ohio",Production/Manufacturing Operator,Front-line,3.4,4.8,No,>2 days,Yes,10.7,11.3,3.7,23.29,No,,1.9,Non-Union
EMP-0036,"Iowa City, Iowa",Plant Management,Management,7.5,5.9,No,<1 day,Yes,0.3,4.0,0.9,39.44,Yes,Excellent- comprehensive and very helpful,3.6,Non-Union
EMP-0037,"Iowa City, Iowa",Administrative/Support Staff,Back-office/Support,7.1,6.4,Yes,<1 day,No,1.6,1.3,1.6,15.44,No,,4.2,Non-Union
EMP-0038,"Green Bay, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,4.2,3.8,Yes,<1 day,Yes,6.0,4.3,0.6,27.57,Yes,Fair- some gaps or inconsistencies,4.5,Non-Union
EMP-0039,"Rockford, Illinois",Plant Management,Management,8.6,5.1,No,1-2 days,No,3.6,4.6,2.4,41.51,No,,1,Non-Union
EMP-0040,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,3.7,9.4,Yes,>2 days,No,1.0,0.3,0.9,19.62,No,,2.5,Non-Union
EMP-0041,"Green Bay, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,7.1,7.0,No,>2 days,No,4.8,0.2,1.6,24.5,No,,4.2,Union
EMP-0042,"Green Bay, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,5.0,7.9,Yes,1-2 days,Yes,3.5,1.4,1.3,20.95,Yes,Good- adequate for most needs,4.4,Union
EMP-0043,"Iowa City, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,5.2,7.6,No,1-2 days,No,4.7,3.7,3.4,26.82,No,,1.7,Non-Union
EMP-0044,"Green Bay, Wisconsin",Administrative/Support Staff,Back-office/Support,6.1,6.4,Yes,>2 days,Yes,3.3,2.7,3.2,27.56,No,,2.8,Union
EMP-0045,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,7.1,3.7,No,<1 day,Yes,13.9,16.9,4.0,19.64,No,,3.4,Non-Union
EMP-0046,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,8.8,5.8,Yes,<1 day,Yes,3.1,1.7,2.5,24.38,No,,2.7,Union
EMP-0047,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,1.4,4.4,No,>2 days,Yes,3.5,2.4,3.4,23.23,Yes,Good- adequate for most needs,1.6,Non-Union
EMP-0048,"Green Bay, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,5.0,6.0,Yes,>2 days,Yes,4.8,0.2,3.9,28.26,No,,3.9,Non-Union
EMP-0049,"Kalamazoo, Michigan",Plant Management,Management,6.1,2.3,No,>2 days,No,9.7,12.7,11.9,40.78,No,,3.2,Union
EMP-0050,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,3.9,5.6,No,>2 days,No,6.0,2.6,0.9,28.26,No,,2.5,Non-Union
EMP-0051,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,4.5,3.3,Yes,<1 day,Yes,4.1,4.8,3.4,16.38,Yes,Good- adequate for most needs,2.9,Non-Union
EMP-0052,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,2.2,4.3,No,<1 day,Yes,2.4,4.1,2.6,19.66,Yes,Fair- some gaps or inconsistencies,2.7,Non-Union
EMP-0053,"Iowa City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,7.4,7.1,No,<1 day,No,0.7,3.8,3.8,22.51,Yes,Excellent- comprehensive and very helpful,3.4,Non-Union
EMP-0054,"Cincinnati, Ohio",Administrative/Support Staff,Back-office/Support,5.5,4.6,No,<1 day,Yes,8.7,16.2,7.8,14.46,No,,2.4,Non-Union
EMP-0055,"Cincinnati, Ohio",Demand Planning/Forecasting,Back-office/Support,5.3,8.8,Yes,1-2 days,Yes,16.3,13.6,6.9,27.39,No,,3.7,Non-Union
EMP-0056,"Kalamazoo, Michigan",Plant Management,Management,6.2,2.2,No,1-2 days,Yes,15.8,18.0,5.6,36.63,Yes,Poor - insufficient or unhelpful,2.4,Non-Union
EMP-0057,"Green Bay, Wisconsin",Quality Control/Quality Assurance,Front-line,4.4,7.2,No,<1 day,No,2.5,4.5,3.8,24.87,No,,4.6,Union
EMP-0058,"Rockford, Illinois",Plant Management,Management,6.1,4.7,Yes,>2 days,No,3.5,2.6,3.5,44.14,Yes,Poor - insufficient or unhelpful,2.1,Union
EMP-0059,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,7.2,7.8,No,>2 days,Yes,23.8,4.2,10.7,22.65,Yes,Excellent- comprehensive and very helpful,2.9,Non-Union
EMP-0060,"Rockford, Illinois",Production/Manufacturing Operator,Front-line,1.2,6.7,Yes,>2 days,Yes,4.7,1.3,0.5,17.95,Yes,Fair- some gaps or inconsistencies,2.3,Union
EMP-0061,"Green Bay, Wisconsin",Demand Planning/Forecasting,Back-office/Support,5.4,6.7,No,<1 day,Yes,6.5,4.4,3.5,28.85,Yes,Poor - insufficient or unhelpful,3.7,Non-Union
EMP-0062,"Iowa City, Iowa",Quality Control/Quality Assurance,Front-line,4.7,2.8,No,<1 day,Yes,2.0,4.2,2.4,21.64,No,,4.4,Union
EMP-0063,"Iowa City, Iowa",Production/Manufacturing Operator,Front-line,4.1,6.1,Yes,>2 days,Yes,4.9,1.1,1.6,23.89,No,,4.3,Union
EMP-0064,"Rockford, Illinois",Administrative/Support Staff,Back-office/Support,5.6,5.7,Yes,<1 day,No,2.6,4.7,1.5,14.56,No,,2.4,Non-Union
EMP-0065,"Cincinnati, Ohio",Quality Control/Quality Assurance,Front-line,5.2,4.2,No,1-2 days,Yes,13.3,4.1,5.1,23.26,Yes,Fair- some gaps or inconsistencies,4.0,Non-Union
EMP-0066,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,4.2,3.8,Yes,<1 day,Yes,26.4,9.8,8.9,21.82,No,,4.5,Non-Union
EMP-0067,"Iowa City, Iowa",Maintenance Technician,Front-line,6.2,5.1,Yes,<1 day,No,5.8,0.3,2.5,25.03,No,,3.7,Union
EMP-0068,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,2.3,5.7,No,<1 day,No,2.9,0.4,0.5,24.87,No,,3.4,Non-Union
EMP-0069,"Cincinnati, Ohio",Quality Control/Quality Assurance,Front-line,3.4,8.6,No,1-2 days,Yes,25.0,16.3,3.8,17.95,Yes,Fair- some gaps or inconsistencies,2.2,Union
EMP-0070,"Rockford, Illinois",Plant Management,Management,7.5,6.0,No,<1 day,Yes,6.9,1.5,3.0,38.01,No,,3.5,Union
EMP-0071,"Green Bay, Wisconsin",Demand Planning/Forecasting,Back-office/Support,5.6,7.5,No,>2 days,No,7.0,0.8,2.7,28.35,No,,3.9,Union
EMP-0072,"Kalamazoo, Michigan",Quality Control/Quality Assurance,Front-line,1.6,7.2,Yes,>2 days,No,12.3,7.7,5.7,22.57,Yes,Good- adequate for most needs,3.8,Non-Union
EMP-0073,"Green Bay, Wisconsin",Maintenance Technician,Front-line,1,4.5,No,<1 day,Yes,4.0,0.0,1.6,20.9,Yes,Fair- some gaps or inconsistencies,3.9,Non-Union
EMP-0074,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,8.5,5.6,Yes,>2 days,Yes,2.6,1.7,2.1,26.66,No,,3.2,Non-Union
EMP-0075,"Cincinnati, Ohio",Maintenance Technician,Front-line,2.8,3.7,No,<1 day,No,26.1,6.2,8.7,25.93,No,,3.1,Union
EMP-0076,"Iowa City, Iowa",Maintenance Technician,Front-line,2.0,4.9,Yes,1-2 days,Yes,0.5,1.8,2.5,22.24,No,,2.7,Union
EMP-0077,"Green Bay, Wisconsin",Production/Manufacturing Operator,Front-line,4.4,3.1,Yes,>2 days,Yes,0.4,1.1,3.0,19.92,Yes,Fair- some gaps or inconsistencies,3.9,Union
EMP-0078,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,4.4,8.8,Yes,<1 day,Yes,29.1,10.6,11.4,29.85,No,,4.1,Union
EMP-0079,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,4.9,4.0,No,<1 day,Yes,28.3,6.2,9.1,27.6,Yes,Fair- some gaps or inconsistencies,3.1,Union
EMP-0080,"Green Bay, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,3.4,1.5,No,<1 day,Yes,7.2,3.6,2.1,30.4,No,,2.4,Union
EMP-0081,"Cincinnati, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,4.5,2.0,No,<1 day,Yes,12.5,12.0,8.6,25.5,Yes,Fair- some gaps or inconsistencies,3.3,Non-Union
EMP-0082,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,7.7,5.8,Yes,>2 days,No,11.5,9.2,4.7,20.92,No,,4.7,Non-Union
EMP-0083,"Kalamazoo, Michigan",Plant Management,Management,6.4,5.2,Yes,>2 days,No,20.0,8.8,9.7,39.25,Yes,Fair- some gaps or inconsistencies,3.1,Non-Union
EMP-0084,"Green Bay, Wisconsin",Plant Management,Management,8.3,8.4,No,1-2 days,No,5.7,3.5,1.1,44.01,Yes,Fair- some gaps or inconsistencies,4.3,Union
EMP-0085,"Cincinnati, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,4.7,5.0,No,1-2 days,No,19.6,8.5,3.0,23.98,No,,4.0,Union
EMP-0086,"Cincinnati, Ohio",Administrative/Support Staff,Back-office/Support,6.0,4.0,No,<1 day,No,14.7,5.1,7.6,12,No,,3.8,Union
EMP-0087,"Kalamazoo, Michigan",Plant Management,Management,6.5,4.7,Yes,>2 days,Yes,13.5,5.4,6.5,41.49,Yes,Good- adequate for most needs,4.3,Union
EMP-0088,"Iowa City, Iowa",Maintenance Technician,Front-line,9.2,5.5,Yes,<1 day,Yes,1.8,3.6,0.4,26.78,No,,3.6,Non-Union
EMP-0089,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,7.7,10,Yes,>2 days,No,13.6,11.2,3.1,19.13,No,,3.5,Non-Union
EMP-0090,"Green Bay, Wisconsin",Maintenance Technician,Front-line,1.6,7.5,No,<1 day,No,6.2,0.4,1.0,24.79,No,,3.8,Non-Union
EMP-0091,"Iowa City, Iowa",Maintenance Technician,Front-line,1,5.1,No,>2 days,Yes,6.9,0.4,2.7,24.77,No,,3.6,Union
EMP-0092,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,6.6,7.2,Yes,>2 days,Yes,7.3,0.5,1.1,22.33,No,,2.9,Non-Union
EMP-0093,"Green Bay, Wisconsin",Production/Manufacturing Operator,Front-line,4.2,5.2,Yes,1-2 days,No,5.6,3.0,3.1,17.34,Yes,Fair- some gaps or inconsistencies,2.2,Non-Union
EMP-0094,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,1,3.3,No,>2 days,No,6.4,0.8,3.2,19.43,No,,2.5,Non-Union
EMP-0095,"Iowa City, Iowa",Plant Management,Management,7.2,6.5,No,1-2 days,No,5.2,3.9,1.7,42.02,Yes,Poor - insufficient or unhelpful,3.2,Union
EMP-0096,"Green Bay, Wisconsin",Production/Manufacturing Operator,Front-line,4.1,3.6,No,>2 days,Yes,0.2,1.5,1.4,16.07,No,,3.8,Union
EMP-0097,"Iowa City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,5.4,9.1,No,>2 days,No,2.3,4.1,2.3,16.68,Yes,Fair- some gaps or inconsistencies,1.6,Non-Union
EMP-0098,"Kalamazoo, Michigan",Maintenance Technician,Front-line,1.4,3.0,Yes,>2 days,Yes,17.1,8.3,9.0,25.5,Yes,Good- adequate for most needs,3.3,Union
EMP-0099,"Kalamazoo, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,9.7,1.7,Yes,1-2 days,No,10.7,7.3,10.4,23.33,Yes,Good- adequate for most needs,3.2,Union
EMP-0100,"Cincinnati, Ohio",Demand Planning/Forecasting,Back-office/Support,5.3,6.4,No,1-2 days,Yes,29.5,6.8,8.2,32.32,No,,2.8,Union
EMP-0101,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,3.3,8.1,No,1-2 days,Yes,4.0,0.5,0.2,26.4,No,,1.9,Non-Union
EMP-0102,"Iowa City, Iowa",Demand Planning/Forecasting,Back-office/Support,6.9,4.4,No,1-2 days,Yes,2.8,2.6,1.4,28.52,No,,3.1,Non-Union
EMP-0103,"Kalamazoo, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,6.8,6.0,Yes,>2 days,Yes,23.7,10.2,5.6,18.7,No,,4.8,Union
EMP-0104,"Iowa City, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,7.4,4.8,Yes,>2 days,Yes,3.8,2.7,2.5,25.3,Yes,Fair- some gaps or inconsistencies,2.9,Union
EMP-0105,"Iowa City, Iowa",Maintenance Technician,Front-line,3.9,6.0,Yes,<1 day,Yes,4.3,4.2,2.6,24.43,No,,3.7,Non-Union
EMP-0106,"Iowa City, Iowa",Demand Planning/Forecasting,Back-office/Support,6.6,5.8,Yes,1-2 days,No,0.0,2.5,3.7,31.84,No,,4.0,Non-Union
EMP-0107,"Cincinnati, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,9.3,5.2,No,1-2 days,No,16.4,8.6,7.9,26.13,No,,2.7,Union
EMP-0108,"Cincinnati, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,6.3,3.4,Yes,>2 days,No,15.8,14.4,9.8,24.6,Yes,Good- adequate for most needs,3.5,Non-Union
EMP-0109,"Cincinnati, Ohio",Administrative/Support Staff,Back-office/Support,7.8,3.2,No,1-2 days,No,11.4,6.5,4.1,22.45,No,,2.7,Union
EMP-0110,"Kalamazoo, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,2.2,5.6,Yes,<1 day,Yes,20.2,13.3,6.2,25.13,Yes,Fair- some gaps or inconsistencies,3.1,Union
