employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Kenosha, Wisconsin",Administrative/Support Staff,Back-office/Support,8.9,7.8,No,1-2 days,No,6.7,2.6,0.2,19.82,Yes,Excellent- comprehensive and very helpful,4.3,Non-Union
EMP-0001,"Toledo, Ohio",Maintenance Technician,Front-line,2.5,4.2,Yes,<1 day,Yes,15.8,11.4,6.1,25.65,No,,3.1,Union
EMP-0002,"Champaign, Illinois",Demand Planning/Forecasting,Back-office/Support,7.3,6.7,Yes,>2 days,No,6.2,4.5,1.1,32.75,Yes,Fair- some gaps or inconsistencies,2.6,Non-Union
EMP-0003,"Kenosha, Wisconsin",Quality Control/Quality Assurance,Front-line,4.2,7.0,No,<1 day,Yes,2.9,0.9,1.8,23.73,No,,3.5,Union
EMP-0004,"Lansing, Michigan",Quality Control/Quality Assurance,Front-line,4.2,2.4,No,>2 days,Yes,24.8,11.7,9.7,18.84,Yes,Fair- some gaps or inconsistencies,2.0,Union
EMP-0005,"Champaign, Illinois",Plant Management,Management,8.4,6.6,Yes,>2 days,Yes,0.7,4.6,3.1,40.15,Yes,Excellent- comprehensive and very helpful,3.4,Union
EMP-0006,"Kenosha, Wisconsin",Maintenance Technician,Front-line,5.7,5.5,Yes,1-2 days,Yes,1.6,3.1,3.7,30.22,No,,3.5,Non-Union
EMP-0007,"Davenport, Iowa",Production/Manufacturing Operator,Front-line,4.5,4.5,Yes,>2 days,No,6.4,3.9,2.5,21.76,Yes,Fair- some gaps or inconsistencies,4.8,Union
EMP-0008,"Champaign, Illinois",Demand Planning/Forecasting,Back-office/Support,3.5,4.1,Yes,<1 day,No,6.6,0.2,1.3,36.98,Yes,Good- adequate for most needs,1.6,Union
EMP-0009,"Davenport, Iowa",Administrative/Support Staff,Back-office/Support,6.9,9.2,No,1-2 days,Yes,1.4,1.0,0.4,23.57,No,,2.4,Non-Union
EMP-0010,"Davenport, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,5.2,6.3,No,<1 day,No,5.0,2.4,3.3,27.93,Yes,Good- adequate for most needs,3.2,Union
EMP-0011,"Champaign, Illinois",Maintenance Technician,Front-line,2.7,4.6,No,1-2 days,No,0.8,1.1,1.7,28.76,Yes,Poor - insufficient or unhelpful,2.7,Non-Union
EMP-0012,"Toledo, Ohio",Plant Management,Management,7.8,5.3,No,>2 days,No,29.7,16.4,5.9,38.65,Yes,Excellent- comprehensive and very helpful,2.5,Union
EMP-0013,"Toledo, Ohio",Quality Control/Quality Assurance,Front-line,2.1,6.0,Yes,1-2 days,No,19.9,17.7,7.8,22.6,No,,2.7,Union
EMP-0014,"Kenosha, Wisconsin",Plant Management,Management,5.4,4.1,No,>2 days,Yes,7.6,3.2,3.7,42.16,No,,1.7,Non-Union
EMP-0015,"Davenport, Iowa",Quality Control/Quality Assurance,Front-line,4.1,5.0,No,<1 day,No,3.3,2.8,3.1,19.78,Yes,Good- adequate for most needs,3.8,Union
EMP-0016,"Davenport, Iowa",Plant Management,Management,9.4,7.2,Yes,1-2 days,Yes,3.4,0.6,2.3,46.42,No,,1.3,Non-Union
EMP-0017,"Champaign, Illinois",Administrative/Support Staff,Back-office/Support,3.5,6.3,No,1-2 days,Yes,2.9,1.9,2.9,16.79,Yes,Good- adequate for most needs,2.1,Non-Union
EMP-0018,"Kenosha, Wisconsin",Administrative/Support Staff,Back-office/Support,2.0,4.1,Yes,>2 days,Yes,3.9,1.1,3.7,20.53,Yes,Fair- some gaps or inconsistencies,3.4,Non-Union
EMP-0019,"Davenport, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,1,6.2,No,1-2 days,No,3.9,0.6,1.2,27.89,No,,2.8,Union
EMP-0020,"Kenosha, Wisconsin",Plant Management,Management,7.0,5.1,No,>2 days,No,5.6,1.8,0.2,40.19,No,,2.8,Non-Union
EMP-0021,"Davenport, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,9.3,5.1,No,<1 day,Yes,2.0,1.3,0.0,18.43,No,,3.2,Non-Union
EMP-0022,"Champaign, Illinois",Production/Manufacturing Operator,Front-line,4.0,8.8,Yes,>2 days,No,0.7,1.2,1.8,22.15,Yes,Good- adequate for most needs,2.1,Union
EMP-0023,"Lansing, Michigan",Maintenance Technician,Front-line,1,6.8,Yes,<1 day,Yes,13.4,4.3,6.6,25.09,No,,2.5,Non-Union
EMP-0024,"Kenosha, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,7.0,7.0,Yes,1-2 days,No,6.6,3.0,2.7,24.06,No,,4.8,Non-Union
EMP-0025,"Lansing, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,5.2,7.8,Yes,1-2 days,No,10.7,10.6,6.0,25.87,Yes,Poor - insufficient or unhelpful,3.3,Union
EMP-0026,"Davenport, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,4.2,5.5,No,<1 day,Yes,7.1,0.5,1.4,24.16,No,,3.7,Non-Union
EMP-0027,"Champaign, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,9.0,5.2,Yes,>2 days,No,1.2,1.7,3.2,23.58,No,,2.2,Non-Union
EMP-0028,"Davenport, Iowa",Demand Planning/Forecasting,Back-office/Support,4.8,7.2,No,<1 day,No,0.5,3.4,1.0,26.2,Yes,Good- adequate for most needs,4.2,Union
EMP-0029,"Lansing, Michigan",Plant Management,Management,7.2,4.7,Yes,>2 days,Yes,23.9,5.2,7.9,45.08,Yes,Poor - insufficient or unhelpful,2.8,Non-Union
EMP-0030,"Champaign, Illinois",Maintenance Technician,Front-line,5.0,8.2,No,1-2 days,Yes,5.8,2.9,0.1,23.55,No,,4.2,Non-Union
EMP-0031,"Toledo, Ohio",Production/Manufacturing Operator,Front-line,3.8,1.3,No,<1 day,Yes,11.3,11.8,10.3,19.94,No,,3.0,Non-Union
EMP-0032,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,2.6,4.6,Yes,<1 day,Yes,1.7,4.7,3.3,21.17,No,,3.1,Non-Union
EMP-0033,"Davenport, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,3.9,3.7,Yes,<1 day,No,0.1,4.9,3.5,27.18,No,,4.0,Union
EMP-0034,"Toledo, Ohio",Plant Management,Management,8.7,6.7,No,1-2 days,Yes,8.1,14.7,11.2,47.15,Yes,Fair- some gaps or inconsistencies,2.0,Union
EMP-0035,"Toledo, Ohio",Production/Manufacturing Operator,Front-line,3.9,4.4,No,>2 days,Yes,23.2,7.3,5.5,20.76,Yes,Good- adequate for most needs,3.2,Union
EMP-0036,"Toledo, Ohio",Quality Control/Quality Assurance,Front-line,4.8,6.1,Yes,1-2 days,No,24.0,6.0,7.5,24.8,No,,3.8,Non-Union
EMP-0037,"Toledo, Ohio",Plant Management,Management,7.7,6.3,Yes,<1 day,Yes,18.7,10.7,3.8,41.88,Yes,Good- adequate for most needs,3.0,Union
EMP-0038,"Lansing, Michigan",Administrative/Support Staff,Back-office/Support,3.4,5.9,Yes,>2 days,Yes,14.3,11.9,8.7,13.26,No,,3.9,Non-Union
EMP-0039,"Champaign, Illinois",Demand Planning/Forecasting,Back-office/Support,9.0,4.9,Yes,1-2 days,No,6.0,5.0,2.7,32.13,No,,3.1,Union
EMP-0040,"Kenosha, Wisconsin",Quality Control/Quality Assurance,Front-line,5.3,5.0,Yes,<1 day,No,7.4,1.2,1.2,21.29,No,,5,Union
EMP-0041,"Lansing, Michigan",Demand Planning/Forecasting,Back-office/Support,5.3,2.8,Yes,1-2 days,Yes,27.2,4.8,6.0,28.6,Yes,Good- adequate for most needs,2.7,Union
EMP-0042,"Toledo, Ohio",Maintenance Technician,Front-line,3.9,10,No,1-2 days,No,14.7,12.1,9.3,28.38,No,,3.0,Non-Union
EMP-0043,"Kenosha, Wisconsin",Plant Management,Management,8.1,4.5,Yes,1-2 days,Yes,6.5,3.2,3.3,41.95,Yes,Fair- some gaps or inconsistencies,4.8,Union
EMP-0044,"Champaign, Illinois",Plant Management,Management,4.9,4.6,Yes,1-2 days,No,5.6,3.8,3.9,41.73,Yes,Fair- some gaps or inconsistencies,1.4,Union
EMP-0045,"Lansing, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,7.5,6.4,No,1-2 days,No,13.6,14.6,6.7,27.4,Yes,Good- adequate for most needs,3.4,Union
EMP-0046,"Lansing, Michigan",Plant Management,Management,7.3,3.9,Yes,<1 day,Yes,15.7,4.7,9.7,48.15,No,,2.9,Union
EMP-0047,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,3.5,5.0,No,<1 day,Yes,4.8,2.4,0.0,21.08,Yes,Good- adequate for most needs,3.1,Non-Union
EMP-0048,"Champaign, Illinois",Administrative/Support Staff,Back-office/Support,4.7,7.2,Yes,1-2 days,Yes,7.8,3.9,0.2,19.0,Yes,Good- adequate for most needs,1.5,Union
EMP-0049,"Lansing, Michigan",Plant Management,Management,8.3,3.6,Yes,>2 days,Yes,21.2,14.7,7.1,44.95,Yes,Good- adequate for most needs,2.2,Union
EMP-0050,"Toledo, Ohio",Quality Control/Quality Assurance,Front-line,5.5,5.9,No,<1 day,Yes,15.5,13.7,3.2,15.57,Yes,Excellent- comprehensive and very helpful,3.1,Non-Union
EMP-0051,"Kenosha, Wisconsin",Quality Control/Quality Assurance,Front-line,4.9,5.7,No,<1 day,Yes,3.5,1.8,0.5,24.67,No,,3.9,Union
EMP-0052,"Davenport, Iowa",Maintenance Technician,Front-line,5.8,6.8,No,1-2 days,No,2.1,1.3,1.9,22.05,No,,3.6,Non-Union
EMP-0053,"Champaign, Illinois",Production/Manufacturing Operator,Front-line,4.4,8.7,No,<1 day,No,5.5,4.8,1.5,22.67,No,,2.3,Non-Union
EMP-0054,"Toledo, Ohio",Demand Planning/Forecasting,Back-office/Support,9.0,5.7,Yes,>2 days,No,13.2,12.6,7.3,32.39,Yes,Poor - insufficient or unhelpful,4.1,Non-Union
EMP-0055,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,6.4,3.2,No,<1 day,Yes,3.8,2.6,1.1,16.77,No,,3.4,Non-Union
EMP-0056,"Lansing, Michigan",Production/Manufacturing Operator,Front-line,5.3,5.1,Yes,1-2 days,Yes,14.5,9.5,10.7,15.22,Yes,Poor - insufficient or unhelpful,4.0,Union
EMP-0057,"Toledo, Ohio",Demand Planning/Forecasting,Back-office/Support,6.2,5.9,Yes,1-2 days,Yes,17.0,17.7,7.1,23.47,No,,4.5,Non-Union
EMP-0058,"Champaign, Illinois",Demand Planning/Forecasting,Back-office/Support,3.6,6.4,Yes,>2 days,No,4.6,5.0,4.0,33.76,Yes,Excellent- comprehensive and very helpful,3.3,Union
EMP-0059,"Lansing, Michigan",Quality Control/Quality Assurance,Front-line,4.8,8.7,No,<1 day,Yes,12.7,6.7,8.9,24.82,No,,2.8,Non-Union
EMP-0060,"Kenosha, Wisconsin",Administrative/Support Staff,Back-office/Support,4.6,1.5,Yes,>2 days,No,5.9,3.1,1.4,18.31,No,,3.8,Non-Union
EMP-0061,"Lansing, Michigan",Plant Management,Management,7.0,5.1,No,1-2 days,Yes,12.4,15.8,11.7,44.46,No,,3.8,Non-Union
EMP-0062,"Kenosha, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,7.8,7.9,No,<1 day,Yes,1.4,3.7,4.0,26.0,No,,3.3,Union
