equipment_id,plant,product_family,equipment_type,scheduled_hours,actual_hours,standard_hours,labor_hours,scrap_rate,oee,unplanned_downtime_hours,units_produced,cogs_per_ton,failure_cost
EQ-PEO-000,"Peoria, Illinois",Sauces,Pasteurizer,3942,2993,3409,2890,0.0775,0.6412,482,253335,1350.62,9039.4
EQ-PEO-001,"Peoria, Illinois",Sauces,Pasteurizer,4084,3122,4040,2444,0.0947,0.8282,261,192322,1144.75,5767.87
EQ-PEO-002,"Peoria, Illinois",Condiments,Conveyor,4807,4045,4362,1651,0.0608,0.8062,99,482367,1071.9,8680.05
EQ-PEO-003,"Peoria, Illinois",Canned Vegetables,Mixer,2037,1578,2002,2104,0.0894,0.7588,138,520591,1683.67,30963.86
EQ-PEO-004,"Peoria, Illinois",Canned Vegetables,Conveyor,4578,3624,4283,585,0.0488,0.8898,415,217985,1945.38,15743.08
EQ-PEO-005,"Peoria, Illinois",Condiments,Filler,4074,3482,3731,2385,0.0874,0.8645,279,568511,1295.29,28382.41
EQ-PEO-006,"Peoria, Illinois",Sauces,Sealer,4682,3895,4295,2654,0.0621,0.7822,341,106547,1827.39,14697.75
EQ-PEO-007,"Peoria, Illinois",Condiments,Sealer,4901,3850,4436,843,0.0957,0.7617,208,256901,1437.71,41233.83
EQ-PEO-008,"Peoria, Illinois",Condiments,Sealer,4031,3752,3656,866,0.0964,0.6876,322,469386,887.16,10744.96
EQ-PEO-009,"Peoria, Illinois",Sauces,Conveyor,4969,3705,4762,662,0.0723,0.7062,331,172890,1814.86,43375.25
EQ-PEO-010,"Peoria, Illinois",Canned Vegetables,Mixer,3931,3047,3851,2929,0.0466,0.6841,108,428308,1563.48,40666.17
EQ-PEO-011,"Peoria, Illinois",Sauces,Conveyor,3898,3744,3794,1023,0.0991,0.7016,424,423079,1908.52,32476.5
EQ-PEO-012,"Peoria, Illinois",Sauces,Sealer,3422,3198,3333,2010,0.0472,0.8709,258,447779,982.46,42923.51
EQ-PEO-013,"Peoria, Illinois",Canned Vegetables,Sealer,3098,2925,2709,1309,0.0884,0.6714,71,224378,1073.49,41369.49
EQ-PEO-014,"Peoria, Illinois",Sauces,Pasteurizer,1575,1533,1479,2879,0.0337,0.7595,154,170329,1272.07,35679.22
EQ-PEO-015,"Peoria, Illinois",Sauces,Labeler,4164,2998,3682,835,0.0517,0.7516,356,244949,1545.04,8473.87
EQ-PEO-016,"Peoria, Illinois",Canned Vegetables,Boiler,2417,1918,2068,2015,0.0409,0.8106,489,438680,1372.57,22582.71
EQ-PEO-017,"Peoria, Illinois",Sauces,Mixer,4771,4230,4728,523,0.0429,0.8399,74,326967,1121.43,10107.99
EQ-PEO-018,"Peoria, Illinois",Condiments,Mixer,2455,1874,2250,1289,0.0362,0.7788,277,364713,1664.51,7708.92
EQ-PEO-019,"Peoria, Illinois",Condiments,Mixer,2917,2316,2512,1988,0.0747,0.8771,393,493867,1117.72,48458.1
EQ-PEO-020,"Peoria, Illinois",Sauces,Filler,2132,1858,1930,1307,0.0584,0.83,482,294385,1725.2,16618.59
EQ-PEO-021,"Peoria, Illinois",Condiments,Pasteurizer,2937,2148,2626,2978,0.0782,0.8203,55,143021,1753.36,16207.95
EQ-PEO-022,"Peoria, Illinois",Canned Vegetables,Conveyor,4257,3853,4248,565,0.0562,0.7705,404,123209,1753.65,15547.97
EQ-PEO-023,"Peoria, Illinois",Condiments,Labeler,3640,3121,3136,2457,0.0776,0.7423,251,497108,931.33,41127.65
EQ-PEO-024,"Peoria, Illinois",Sauces,Mixer,2200,1555,1943,2161,0.0759,0.7731,181,553424,1629.02,23456.12
EQ-PEO-025,"Peoria, Illinois",Sauces,Filler,1524,1487,1297,1037,0.0874,0.79,444,435624,1660.92,19098.49
EQ-PEO-026,"Peoria, Illinois",Condiments,Pasteurizer,2173,1812,1869,1015,0.0879,0.6742,352,527819,854.86,34824.84
EQ-PEO-027,"Peoria, Illinois",Sauces,Filler,4414,4314,3787,1905,0.0601,0.8285,450,575609,1257.36,44687.09
EQ-PEO-028,"Peoria, Illinois",Sauces,Boiler,2768,2250,2594,2985,0.0515,0.8004,230,573872,1641.41,26944.61
EQ-PEO-029,"Peoria, Illinois",Condiments,Filler,2803,2295,2669,1379,0.0656,0.7977,301,393616,1452.15,30027.26
EQ-PEO-030,"Peoria, Illinois",Condiments,Boiler,2525,2361,2331,1138,0.0563,0.8369,333,155558,1496.77,16315.25
EQ-PEO-031,"Peoria, Illinois",Condiments,Sealer,3386,3237,3331,785,0.0573,0.767,252,268325,1013.35,46300.04
EQ-PEO-032,"Peoria, Illinois",Sauces,Conveyor,3484,2570,3192,1690,0.0603,0.7288,85,145600,1359.0,42714.12
EQ-PEO-033,"Peoria, Illinois",Canned Vegetables,Sealer,4089,3026,3733,1822,0.0502,0.7847,264,340039,814.04,48162.92
EQ-PEO-034,"Peoria, Illinois",Condiments,Pasteurizer,2354,1990,2056,1227,0.0321,0.7854,162,469288,1964.91,10824.39
EQ-PEO-035,"Peoria, Illinois",Condiments,Conveyor,3428,2584,3012,1514,0.0934,0.8243,91,583848,1802.49,42009.06
EQ-PEO-036,"Peoria, Illinois",Canned Vegetables,Boiler,3962,3779,3701,1432,0.0436,0.7711,346,375744,1786.14,33549.43
EQ-PEO-037,"Peoria, Illinois",Condiments,Sealer,5000,3870,4329,1976,0.0678,0.8744,167,221460,1177.78,39539.62
EQ-PEO-038,"Peoria, Illinois",Condiments,Pasteurizer,4673,3877,4027,1621,0.0658,0.8233,245,541142,1931.6,21536.58
EQ-PEO-039,"Peoria, Illinois",Canned Vegetables,Sealer,1548,1345,1486,1024,0.0965,0.6043,134,493892,1173.45,47177.49
EQ-PEO-040,"Peoria, Illinois",Condiments,Conveyor,3606,3028,3240,1337,0.0903,0.7097,295,483240,1975.27,13377.4
EQ-PEO-041,"Peoria, Illinois",Sauces,Pasteurizer,3693,2953,3531,2102,0.0598,0.7605,387,543649,845.72,20441.71
EQ-PEO-042,"Peoria, Illinois",Sauces,Conveyor,2391,2181,2284,974,0.0999,0.9107,439,365117,1735.74,23413.22
EQ-PEO-043,"Peoria, Illinois",Canned Vegetables,Pasteurizer,3445,2488,3057,1766,0.0675,0.802,450,395164,1718.08,25001.33
EQ-PEO-044,"Peoria, Illinois",Canned Vegetables,Conveyor,4751,4386,4331,2947,0.0331,0.8828,331,358319,1928.63,12479.44
EQ-PEO-045,"Peoria, Illinois",Condiments,Sealer,2391,2114,2091,2648,0.0761,0.787,211,339763,867.75,31551.75
EQ-PEO-046,"Peoria, Illinois",Sauces,Boiler,4858,3725,4372,1022,0.0946,0.7675,301,376718,1095.82,34905.39
EQ-PEO-047,"Peoria, Illinois",Condiments,Mixer,3631,3154,3187,1809,0.0894,0.7303,169,551025,1851.52,43644.07
EQ-PEO-048,"Peoria, Illinois",Canned Vegetables,Conveyor,2392,2137,2338,2123,0.0814,0.701,190,537838,1637.56,25633.46
EQ-MIL-049,"Milwaukee, Wisconsin",Sauces,Sealer,4979,3497,4288,1882,0.0626,0.7343,466,252186,1306.82,31286.21
EQ-MIL-050,"Milwaukee, Wisconsin",Sauces,Filler,4959,3916,4376,1767,0.0426,0.886,223,133075,1569.35,46125.26
EQ-MIL-051,"Milwaukee, Wisconsin",Canned Vegetables,Labeler,3354,2445,3035,2927,0.0543,0.7288,119,411166,1410.31,6285.92
EQ-MIL-052,"Milwaukee, Wisconsin",Condiments,Labeler,2247,1861,2195,2967,0.03,0.7775,112,311526,1435.84,30606.41
EQ-MIL-053,"Milwaukee, Wisconsin",Sauces,Labeler,2574,2505,2251,975,0.0564,0.7994,193,201344,1102.42,41842.76
EQ-MIL-054,"Milwaukee, Wisconsin",Condiments,Pasteurizer,2857,2124,2744,2203,0.0657,0.8316,470,406134,932.36,44548.6
EQ-MIL-055,"Milwaukee, Wisconsin",Sauces,Filler,4643,3551,4080,1365,0.0986,0.8009,149,453653,948.83,43134.2
EQ-MIL-056,"Milwaukee, Wisconsin",Sauces,Filler,1580,1399,1544,2324,0.0824,0.8146,164,249415,900.52,22930.47
EQ-MIL-057,"Milwaukee, Wisconsin",Condiments,Sealer,4794,3455,4488,1278,0.0705,0.7725,164,322849,1743.37,45255.57
EQ-MIL-058,"Milwaukee, Wisconsin",Canned Vegetables,Filler,3764,3376,3327,2699,0.0836,0.811,273,180385,1314.86,17261.86
EQ-MIL-059,"Milwaukee, Wisconsin",Condiments,Boiler,2162,1654,2087,766,0.0707,0.7462,168,370470,1536.13,46020.77
EQ-MIL-060,"Milwaukee, Wisconsin",Canned Vegetables,Pasteurizer,4021,3650,3906,1442,0.0362,0.7859,323,164280,1784.58,46366.92
EQ-MIL-061,"Milwaukee, Wisconsin",Canned Vegetables,Filler,2910,2099,2708,2521,0.0384,0.8057,109,123272,1252.04,10924.36
EQ-MIL-062,"Milwaukee, Wisconsin",Condiments,Filler,3307,2920,2850,2922,0.0761,0.818,70,379983,912.49,30938.52
EQ-MIL-063,"Milwaukee, Wisconsin",Sauces,Mixer,3699,3184,3466,1871,0.0443,0.8074,246,441226,1440.84,26538.48
EQ-MIL-064,"Milwaukee, Wisconsin",Condiments,Conveyor,3814,3412,3249,684,0.0912,0.7195,344,122448,1485.88,49929.1
EQ-MIL-065,"Milwaukee, Wisconsin",Condiments,Labeler,2666,1936,2536,2071,0.0303,0.7695,187,341465,1747.29,22679.87
EQ-MIL-066,"Milwaukee, Wisconsin",Sauces,Conveyor,3702,3211,3280,621,0.0588,0.7476,373,374081,954.01,24303.12
EQ-MIL-067,"Milwaukee, Wisconsin",Sauces,Labeler,3110,2337,2888,1114,0.0904,0.8709,222,379934,818.89,5726.2
EQ-MIL-068,"Milwaukee, Wisconsin",Canned Vegetables,Mixer,3530,2977,3426,1384,0.0739,0.7291,226,358800,1463.92,17909.64
EQ-MIL-069,"Milwaukee, Wisconsin",Canned Vegetables,Boiler,1778,1446,1751,1964,0.0416,0.8466,143,227614,934.51,26694.73
EQ-MIL-070,"Milwaukee, Wisconsin",Canned Vegetables,Mixer,1691,1224,1572,1259,0.0445,0.8439,281,536548,1622.42,33578.94
EQ-MIL-071,"Milwaukee, Wisconsin",Canned Vegetables,Boiler,4023,3183,3504,991,0.0587,0.7631,114,408267,1952.33,23328.47
EQ-MIL-072,"Milwaukee, Wisconsin",Condiments,Sealer,2711,1950,2432,530,0.0394,0.7195,352,362529,968.75,29890.81
EQ-MIL-073,"Milwaukee, Wisconsin",Sauces,Filler,3226,3086,3218,1753,0.0491,0.6726,467,502193,1610.9,33913.58
