equipment_id,plant,product_family,scrap_cost,unplanned_failure_cost
EQ-PEO-000,"Peoria, Illinois",Sauces,26517.35,13171.96
EQ-PEO-001,"Peoria, Illinois",Sauces,20849.21,14111.23
EQ-PEO-002,"Peoria, Illinois",Condiments,31436.59,26615.92
EQ-PEO-003,"Peoria, Illinois",Canned Vegetables,78359.41,29503.94
EQ-PEO-004,"Peoria, Illinois",Canned Vegetables,20694.31,25916.22
EQ-PEO-005,"Peoria, Illinois",Condiments,64360.19,3281.15
EQ-PEO-006,"Peoria, Illinois",Sauces,12091.05,4151.97
EQ-PEO-007,"Peoria, Illinois",Condiments,35346.71,15911.04
EQ-PEO-008,"Peoria, Illinois",Condiments,40142.93,16875.36
EQ-PEO-009,"Peoria, Illinois",Sauces,22685.65,29483.89
EQ-PEO-010,"Peoria, Illinois",Canned Vegetables,31205.74,3144.66
EQ-PEO-011,"Peoria, Illinois",Sauces,80018.76,17878.19
EQ-PEO-012,"Peoria, Illinois",Sauces,20764.46,3139.2
EQ-PEO-013,"Peoria, Illinois",Canned Vegetables,21292.69,29561.27
EQ-PEO-014,"Peoria, Illinois",Sauces,7301.79,24322.2
EQ-PEO-015,"Peoria, Illinois",Sauces,19566.18,13574.29
EQ-PEO-016,"Peoria, Illinois",Canned Vegetables,24626.67,7927.7
EQ-PEO-017,"Peoria, Illinois",Sauces,15730.17,16265.34
EQ-PEO-018,"Peoria, Illinois",Condiments,21975.88,8364.89
EQ-PEO-019,"Peoria, Illinois",Condiments,41234.78,6636.72
EQ-PEO-020,"Peoria, Illinois",Sauces,29659.78,24855.33
EQ-PEO-021,"Peoria, Illinois",Condiments,19610.0,11471.25
EQ-PEO-022,"Peoria, Illinois",Canned Vegetables,12142.88,12894.18
EQ-PEO-023,"Peoria, Illinois",Condiments,35926.6,7507.68
EQ-PEO-024,"Peoria, Illinois",Sauces,68426.79,5989.21
EQ-PEO-025,"Peoria, Illinois",Sauces,63237.1,18648.55
EQ-PEO-026,"Peoria, Illinois",Condiments,39661.48,18197.32
EQ-PEO-027,"Peoria, Illinois",Sauces,43497.24,17107.92
EQ-PEO-028,"Peoria, Illinois",Sauces,48510.9,8578.95
EQ-PEO-029,"Peoria, Illinois",Condiments,37496.27,14572.61
EQ-PEO-030,"Peoria, Illinois",Condiments,13108.59,13155.27
EQ-PEO-031,"Peoria, Illinois",Condiments,15580.28,6967.92
EQ-PEO-032,"Peoria, Illinois",Sauces,11931.59,7965.48
EQ-PEO-033,"Peoria, Illinois",Canned Vegetables,13895.63,4197.82
EQ-PEO-034,"Peoria, Illinois",Condiments,29599.69,29565.03
EQ-PEO-035,"Peoria, Illinois",Condiments,98292.31,8117.18
EQ-PEO-036,"Peoria, Illinois",Canned Vegetables,29261.33,15866.83
