employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Detroit, Michigan",Administrative/Support Staff,Back-office/Support,7.4,4.7,Yes,<1 day,No,19.6,7.3,11.5,21.29,No,,4.0,Non-Union
EMP-0001,"Des Moines, Iowa",Maintenance Technician,Front-line,3.1,2.6,No,1-2 days,No,5.0,0.2,1.1,26.36,No,,2.0,Union
EMP-0002,"Detroit, Michigan",Demand Planning/Forecasting,Back-office/Support,8.0,7.9,No,<1 day,Yes,8.2,7.5,9.2,21.93,Yes,Fair- some gaps or inconsistencies,4.5,Union
EMP-0003,"Kenosha, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,5.7,9.7,Yes,>2 days,Yes,4.2,3.6,0.9,20.59,Yes,Fair- some gaps or inconsistencies,4.2,Union
EMP-0004,"Des Moines, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,3.9,6.4,No,<1 day,Yes,5.6,1.2,1.3,28.42,No,,2.2,Union
EMP-0005,"Springfield, Illinois",Production/Manufacturing Operator,Front-line,5.3,6.0,Yes,1-2 days,No,5.2,1.3,0.8,18.11,No,,2.0,Non-Union
EMP-0006,"Columbus, Ohio",Administrative/Support Staff,Back-office/Support,10,2.5,No,1-2 days,No,28.7,16.5,11.3,16.55,Yes,Poor - insufficient or unhelpful,2.7,Non-Union
EMP-0007,"Kenosha, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,4.6,5.4,No,1-2 days,Yes,1.9,2.9,1.5,25.54,Yes,Excellent- comprehensive and very helpful,3.4,Non-Union
EMP-0008,"Springfield, Illinois",Plant Management,Management,10,5.3,Yes,>2 days,Yes,3.1,4.3,2.1,40.31,No,,2.3,Union
EMP-0009,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,7.1,5.9,No,>2 days,Yes,6.7,1.0,1.9,18.41,No,,2.7,Union
EMP-0010,"Springfield, Illinois",Demand Planning/Forecasting,Back-office/Support,5.0,7.9,Yes,1-2 days,No,0.5,3.7,0.2,28.58,Yes,Fair- some gaps or inconsistencies,1.7,Non-Union
EMP-0011,"Springfield, Illinois",Plant Management,Management,6.0,6.3,No,1-2 days,Yes,3.0,0.3,2.8,39.22,Yes,Good- adequate for most needs,2.2,Non-Union
EMP-0012,"Des Moines, Iowa",Plant Management,Management,7.0,1,Yes,1-2 days,Yes,2.6,0.0,1.1,38.74,No,,1.4,Union
EMP-0013,"Kenosha, Wisconsin",Administrative/Support Staff,Back-office/Support,10,4.9,Yes,<1 day,Yes,2.0,4.4,0.4,20.49,No,,4.4,Union
EMP-0014,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,5.9,6.1,No,>2 days,No,3.9,3.7,0.9,15.65,No,,4.0,Non-Union
EMP-0015,"Detroit, Michigan",Plant Management,Management,4.9,4.5,Yes,<1 day,No,25.0,9.3,9.2,43.4,No,,3.2,Non-Union
EMP-0016,"Springfield, Illinois",Production/Manufacturing Operator,Front-line,3.0,6.5,No,>2 days,Yes,1.4,0.8,2.6,21.55,Yes,Good- adequate for most needs,3.7,Non-Union
EMP-0017,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,3.8,9.5,Yes,<1 day,No,28.9,8.3,4.8,19.67,Yes,Fair- some gaps or inconsistencies,4.2,Union
EMP-0018,"Columbus, Ohio",Maintenance Technician,Front-line,3.4,3.6,Yes,<1 day,No,8.8,10.0,3.1,26.42,No,,2.7,Union
EMP-0019,"Des Moines, Iowa",Production/Manufacturing Operator,Front-line,1,7.3,Yes,1-2 days,No,0.8,1.1,1.0,12,No,,2.7,Non-Union
EMP-0020,"Springfield, Illinois",Quality Control/Quality Assurance,Front-line,1.9,9.2,No,1-2 days,No,4.2,1.3,0.6,22.4,No,,3.0,Union
EMP-0021,"Des Moines, Iowa",Production/Manufacturing Operator,Front-line,5.4,5.1,Yes,>2 days,Yes,5.9,2.2,1.8,20.66,No,,2.1,Union
EMP-0022,"Springfield, Illinois",Administrative/Support Staff,Back-office/Support,2.7,6.5,Yes,1-2 days,No,0.7,4.4,3.6,18.84,No,,2.6,Non-Union
EMP-0023,"Springfield, Illinois",Maintenance Technician,Front-line,2.5,5.6,No,<1 day,Yes,1.9,2.1,3.7,29.96,No,,4.4,Union
EMP-0024,"Des Moines, Iowa",Plant Management,Management,10,3.7,No,>2 days,Yes,0.6,0.2,0.5,39.86,No,,3.9,Non-Union
EMP-0025,"Detroit, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,7.3,5.1,No,>2 days,No,12.4,8.3,10.3,23.74,Yes,Fair- some gaps or inconsistencies,3.5,Union
EMP-0026,"Columbus, Ohio",Administrative/Support Staff,Back-office/Support,5.4,6.0,Yes,<1 day,Yes,18.7,6.6,8.2,14.26,No,,3.1,Union
EMP-0027,"Detroit, Michigan",Quality Control/Quality Assurance,Front-line,2.5,5.2,No,1-2 days,Yes,26.6,8.6,10.1,21.88,No,,3.3,Union
EMP-0028,"Springfield, Illinois",Plant Management,Management,7.5,6.1,No,1-2 days,Yes,0.8,3.6,2.4,41.22,No,,4.0,Non-Union
EMP-0029,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,6.7,7.7,Yes,>2 days,Yes,3.0,1.6,0.7,21.88,Yes,Fair- some gaps or inconsistencies,4.3,Non-Union
EMP-0030,"Detroit, Michigan",Demand Planning/Forecasting,Back-office/Support,6.0,6.1,Yes,1-2 days,Yes,25.6,7.3,11.9,31.19,No,,2.6,Non-Union
EMP-0031,"Springfield, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,7.1,5.7,Yes,<1 day,Yes,4.4,3.3,3.7,24.34,No,,3.1,Union
EMP-0032,"Des Moines, Iowa",Production/Manufacturing Operator,Front-line,2.4,5.5,Yes,1-2 days,Yes,7.7,3.1,3.6,12,No,,1,Union
EMP-0033,"Des Moines, Iowa",Maintenance Technician,Front-line,3.8,4.1,Yes,<1 day,No,5.1,4.1,3.4,21.33,Yes,Good- adequate for most needs,2.6,Union
EMP-0034,"Detroit, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,4.9,4.9,No,1-2 days,No,15.1,13.1,10.6,22.73,Yes,Good- adequate for most needs,1.8,Non-Union
EMP-0035,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,4.0,6.2,No,>2 days,Yes,20.9,9.0,9.3,12.6,Yes,Good- adequate for most needs,3.4,Non-Union
EMP-0036,"Columbus, Ohio",Plant Management,Management,7.1,5.4,No,1-2 days,No,20.7,8.8,8.2,40.63,No,,3.3,Non-Union
EMP-0037,"Kenosha, Wisconsin",Plant Management,Management,6.5,7.8,No,<1 day,Yes,7.5,0.7,0.8,42.11,No,,3.1,Union
EMP-0038,"Kenosha, Wisconsin",Plant Management,Management,4.3,5.4,No,<1 day,Yes,0.4,0.1,3.6,38.93,Yes,Fair- some gaps or inconsistencies,2.4,Union
EMP-0039,"Kenosha, Wisconsin",Plant Management,Management,6.8,1.3,Yes,<1 day,No,2.9,0.6,1.2,47.49,Yes,Good- adequate for most needs,2.9,Non-Union
EMP-0040,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,3.2,8.3,No,1-2 days,Yes,11.8,15.7,3.6,20.33,Yes,Good- adequate for most needs,1,Non-Union
EMP-0041,"Columbus, Ohio",Demand Planning/Forecasting,Back-office/Support,5.3,5.4,Yes,<1 day,No,23.2,14.2,7.2,26.57,Yes,Fair- some gaps or inconsistencies,3.4,Non-Union
EMP-0042,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,6.4,6.7,No,<1 day,No,3.6,1.3,3.8,14.97,No,,4.5,Non-Union
EMP-0043,"Detroit, Michigan",Plant Management,Management,4.3,5.2,No,1-2 days,No,11.3,16.8,6.0,42.77,No,,2.4,Non-Union
EMP-0044,"Des Moines, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,3.2,6.0,Yes,<1 day,Yes,4.6,1.8,2.3,29.78,Yes,Good- adequate for most needs,1.6,Non-Union
EMP-0045,"Kenosha, Wisconsin",Demand Planning/Forecasting,Back-office/Support,8.6,6.9,Yes,1-2 days,Yes,0.5,3.3,1.7,24.7,No,,4.5,Non-Union
EMP-0046,"Kenosha, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,3.9,7.0,No,<1 day,Yes,5.8,2.6,3.2,18.1,No,,4.6,Non-Union
EMP-0047,"Detroit, Michigan",Demand Planning/Forecasting,Back-office/Support,2.7,4.7,No,>2 days,Yes,24.3,16.3,5.2,25.67,Yes,Good- adequate for most needs,2.5,Non-Union
EMP-0048,"Kenosha, Wisconsin",Plant Management,Management,7.7,3.8,No,1-2 days,Yes,3.1,2.3,0.5,40.27,No,,4.6,Union
EMP-0049,"Des Moines, Iowa",Production/Manufacturing Operator,Front-line,4.9,5.9,No,>2 days,No,4.3,4.7,0.0,17.24,No,,4.1,Union
EMP-0050,"Springfield, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,4.3,5.0,Yes,<1 day,No,2.1,1.0,1.6,27.43,Yes,Fair- some gaps or inconsistencies,2.5,Union
EMP-0051,"Kenosha, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,7.7,7.5,Yes,1-2 days,No,1.3,1.4,3.5,21.52,Yes,Good- adequate for most needs,3.8,Non-Union
EMP-0052,"Springfield, Illinois",Quality Control/Quality Assurance,Front-line,4.5,5.5,Yes,1-2 days,No,4.2,2.3,3.0,18.51,Yes,Good- adequate for most needs,4.2,Non-Union
EMP-0053,"Detroit, Michigan",Demand Planning/Forecasting,Back-office/Support,8.7,6.1,No,<1 day,No,27.6,16.0,7.5,25.53,No,,1.3,Non-Union
