equipment_id,plant,product_family,scrap_cost,unplanned_failure_cost
EQ-CHA-000,"Champaign, Illinois",Canned Vegetables,41404.35,12452.73
EQ-CHA-001,"Champaign, Illinois",Condiments,90796.65,5076.06
EQ-CHA-002,"Champaign, Illinois",Condiments,31470.56,16061.35
EQ-CHA-003,"Champaign, Illinois",Sauces,13308.07,10651.68
EQ-CHA-004,"Champaign, Illinois",Sauces,37867.22,8991.27
EQ-CHA-005,"Champaign, Illinois",Condiments,23080.94,4860.51
EQ-CHA-006,"Champaign, Illinois",Condiments,6416.06,19539.1
EQ-CHA-007,"Champaign, Illinois",Canned Vegetables,29116.33,8378.11
EQ-CHA-008,"Champaign, Illinois",Condiments,26219.17,26903.66
EQ-CHA-009,"Champaign, Illinois",Sauces,42631.73,7679.52
EQ-CHA-010,"Champaign, Illinois",Sauces,34230.4,7673.43
EQ-CHA-011,"Champaign, Illinois",Sauces,8692.74,10454.15
EQ-CHA-012,"Champaign, Illinois",Sauces,27258.21,25726.92
EQ-CHA-013,"Champaign, Illinois",Canned Vegetables,70869.63,21864.77
EQ-CHA-014,"Champaign, Illinois",Canned Vegetables,22075.22,29649.21
EQ-CHA-015,"Champaign, Illinois",Canned Vegetables,17497.4,27302.18
EQ-CHA-016,"Champaign, Illinois",Sauces,33010.8,2789.09
EQ-CHA-017,"Champaign, Illinois",Canned Vegetables,23202.5,13739.9
EQ-CHA-018,"Champaign, Illinois",Sauces,17011.69,18650.92
EQ-CHA-019,"Champaign, Illinois",Canned Vegetables,27300.77,3095.24
EQ-CHA-020,"Champaign, Illinois",Sauces,29934.75,4549.46
EQ-CHA-021,"Champaign, Illinois",Sauces,20307.97,20902.06
EQ-CHA-022,"Champaign, Illinois",Sauces,67650.77,7264.13
EQ-CHA-023,"Champaign, Illinois",Canned Vegetables,60398.42,26909.88
EQ-CHA-024,"Champaign, Illinois",Canned Vegetables,53326.69,21518.41
EQ-CHA-025,"Champaign, Illinois",Condiments,30910.42,8935.89
EQ-CHA-026,"Champaign, Illinois",Sauces,13119.51,7835.57
EQ-CHA-027,"Champaign, Illinois",Condiments,53297.14,2661.63
EQ-CHA-028,"Champaign, Illinois",Sauces,49066.95,22470.82
EQ-CHA-029,"Champaign, Illinois",Canned Vegetables,34164.21,21630.33
EQ-CHA-030,"Champaign, Illinois",Sauces,28059.98,9969.58
EQ-CHA-031,"Champaign, Illinois",Canned Vegetables,15616.23,3476.85
EQ-CHA-032,"Champaign, Illinois",Canned Vegetables,17529.38,25803.9
EQ-CHA-033,"Champaign, Illinois",Sauces,19877.75,9451.54
EQ-CHA-034,"Champaign, Illinois",Sauces,20182.91,10590.26
EQ-CHA-035,"Champaign, Illinois",Canned Vegetables,48940.7,7102.8
EQ-CHA-036,"Champaign, Illinois",Condiments,53464.38,15414.0
EQ-CHA-037,"Champaign, Illinois",Condiments,53146.42,4228.52
EQ-CHA-038,"Champaign, Illinois",Canned Vegetables,24568.7,9209.94
EQ-CHA-039,"Champaign, Illinois",Canned Vegetables,34835.56,25817.79
EQ-CHA-040,"Champaign, Illinois",Canned Vegetables,38714.83,2894.0
EQ-CHA-041,"Champaign, Illinois",Canned Vegetables,64226.88,10111.12
EQ-CHA-042,"Champaign, Illinois",Canned Vegetables,13762.14,7877.08
EQ-CHA-043,"Champaign, Illinois",Canned Vegetables,25106.59,18489.28
EQ-CHA-044,"Champaign, Illinois",Condiments,54522.81,12220.94
EQ-KEN-045,"Kenosha, Wisconsin",Condiments,18812.45,20021.21
EQ-KEN-046,"Kenosha, Wisconsin",Condiments,26296.34,8389.12
EQ-KEN-047,"Kenosha, Wisconsin",Sauces,56703.89,4618.08
EQ-KEN-048,"Kenosha, Wisconsin",Canned Vegetables,92757.62,7347.69
EQ-KEN-049,"Kenosha, Wisconsin",Condiments,15306.58,28616.01
EQ-KEN-050,"Kenosha, Wisconsin",Canned Vegetables,36971.56,8798.64
EQ-KEN-051,"Kenosha, Wisconsin",Canned Vegetables,5443.55,25470.54
EQ-KEN-052,"Kenosha, Wisconsin",Canned Vegetables,63573.41,11794.63
EQ-KEN-053,"Kenosha, Wisconsin",Condiments,17010.37,7624.46
EQ-KEN-054,"Kenosha, Wisconsin",Condiments,27026.0,15888.7
EQ-KEN-055,"Kenosha, Wisconsin",Canned Vegetables,21620.96,18548.91
EQ-KEN-056,"Kenosha, Wisconsin",Sauces,13895.58,22804.14
EQ-KEN-057,"Kenosha, Wisconsin",Canned Vegetables,15507.95,18937.18
EQ-KEN-058,"Kenosha, Wisconsin",Sauces,13359.87,10237.94
EQ-KEN-059,"Kenosha, Wisconsin",Condiments,31255.59,10650.87
EQ-KEN-060,"Kenosha, Wisconsin",Canned Vegetables,11571.16,20379.48
EQ-KEN-061,"Kenosha, Wisconsin",Sauces,47751.93,13295.14
EQ-KEN-062,"Kenosha, Wisconsin",Condiments,46596.11,7782.17
EQ-KEN-063,"Kenosha, Wisconsin",Sauces,50180.29,19768.87
EQ-KEN-064,"Kenosha, Wisconsin",Condiments,69556.71,4856.45
EQ-KEN-065,"Kenosha, Wisconsin",Sauces,33275.32,6486.37
EQ-KEN-066,"Kenosha, Wisconsin",Canned Vegetables,32162.4,8093.26
EQ-KEN-067,"Kenosha, Wisconsin",Sauces,29644.39,6552.88
EQ-KEN-068,"Kenosha, Wisconsin",Sauces,19503.85,3595.59
EQ-KEN-069,"Kenosha, Wisconsin",Condiments,28199.31,8011.31
EQ-KEN-070,"Kenosha, Wisconsin",Condiments,45278.94,14069.56
EQ-KEN-071,"Kenosha, Wisconsin",Sauces,43158.58,24652.45
EQ-KEN-072,"Kenosha, Wisconsin",Sauces,15356.2,17800.05
EQ-KEN-073,"Kenosha, Wisconsin",Sauces,42394.59,22237.34
EQ-KEN-074,"Kenosha, Wisconsin",Canned Vegetables,31260.45,12172.05
EQ-KEN-075,"Kenosha, Wisconsin",Canned Vegetables,39722.19,21875.65
EQ-KEN-076,"Kenosha, Wisconsin",Sauces,59938.34,6313.76
EQ-KEN-077,"Kenosha, Wisconsin",Canned Vegetables,28877.84,23732.59
EQ-KEN-078,"Kenosha, Wisconsin",Canned Vegetables,33229.14,17808.77
EQ-KEN-079,"Kenosha, Wisconsin",Canned Vegetables,30581.53,25361.58
EQ-KEN-080,"Kenosha, Wisconsin",Canned Vegetables,15166.64,18006.69
EQ-KEN-081,"Kenosha, Wisconsin",Canned Vegetables,14218.42,13989.64
EQ-KEN-082,"Kenosha, Wisconsin",Sauces,16782.04,22448.1
EQ-KEN-083,"Kenosha, Wisconsin",Condiments,17807.02,5994.5
EQ-KEN-084,"Kenosha, Wisconsin",Canned Vegetables,11768.99,9745.16
EQ-KEN-085,"Kenosha, Wisconsin",Condiments,26844.21,22472.16
EQ-KEN-086,"Kenosha, Wisconsin",Condiments,21411.83,9237.96
