employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Peoria, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,3.4,3.7,Yes,<1 day,No,3.2,3.2,3.9,27.68,Yes,Excellent- comprehensive and very helpful,2.1,Union
EMP-0001,"Peoria, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,4.9,4.1,Yes,1-2 days,Yes,3.7,3.3,2.1,20.43,Yes,Good- adequate for most needs,1.4,Union
EMP-0002,"Sioux City, Iowa",Maintenance Technician,Front-line,4.6,6.2,Yes,>2 days,No,4.1,2.6,2.0,25.31,No,,3.6,Union
EMP-0003,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,4.4,2.4,Yes,<1 day,No,26.0,14.1,10.9,19.41,No,,1.9,Non-Union
EMP-0004,"Peoria, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,5.5,8.3,Yes,1-2 days,Yes,3.3,3.1,2.6,19.68,Yes,Fair- some gaps or inconsistencies,2.4,Non-Union
EMP-0005,"Peoria, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,6.1,8.0,No,1-2 days,No,7.8,2.4,2.1,24.22,Yes,Good- adequate for most needs,2.1,Union
EMP-0006,"Sioux City, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,5.2,5.8,Yes,<1 day,No,6.7,4.4,3.0,32.44,No,,2.9,Non-Union
EMP-0007,"Kenosha, Wisconsin",Production/Manufacturing Operator,Front-line,3.9,4.8,No,>2 days,No,5.6,0.6,1.0,18.54,Yes,Good- adequate for most needs,4.8,Union
EMP-0008,"Kenosha, Wisconsin",Maintenance Technician,Front-line,4.8,5.1,No,>2 days,No,4.3,1.4,3.4,31.59,Yes,Good- adequate for most needs,4.0,Union
EMP-0009,"Akron, Ohio",Demand Planning/Forecasting,Back-office/Support,4.7,6.1,Yes,1-2 days,No,16.0,7.4,11.2,30.8,Yes,Excellent- comprehensive and very helpful,3.1,Non-Union
EMP-0010,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,2.3,5.1,Yes,1-2 days,No,17.8,5.4,4.5,27.69,No,,2.2,Non-Union
EMP-0011,"Sioux City, Iowa",Administrative/Support Staff,Back-office/Support,9.9,2.9,No,<1 day,Yes,8.0,0.9,1.1,20.85,Yes,Good- adequate for most needs,4.1,Union
EMP-0012,"Akron, Ohio",Maintenance Technician,Front-line,3.9,9.7,Yes,1-2 days,Yes,20.4,15.0,3.5,28.33,No,,4.0,Non-Union
EMP-0013,"Akron, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,4.6,10,Yes,1-2 days,Yes,24.6,10.9,11.5,30.34,No,,3.5,Non-Union
EMP-0014,"Sioux City, Iowa",Administrative/Support Staff,Back-office/Support,7.9,3.7,Yes,>2 days,Yes,6.8,4.4,3.7,22.2,No,,3.9,Non-Union
EMP-0015,"Peoria, Illinois",Plant Management,Management,7.2,6.0,Yes,<1 day,No,2.7,2.3,3.5,37.87,No,,3.0,Union
EMP-0016,"Akron, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,8.6,3.7,Yes,>2 days,No,10.3,10.1,6.7,22.12,Yes,Fair- some gaps or inconsistencies,2.6,Union
EMP-0017,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,1.5,4.4,No,<1 day,Yes,14.1,13.9,4.7,18.62,No,,3.9,Non-Union
