equipment_id,plant,product_family,scrap_cost,unplanned_failure_cost
EQ-CHA-000,"Champaign, Illinois",Condiments,34976.24,20548.3
EQ-CHA-001,"Champaign, Illinois",Canned Vegetables,9951.8,23936.91
EQ-CHA-002,"Champaign, Illinois",Sauces,34344.64,14184.69
EQ-CHA-003,"Champaign, Illinois",Condiments,43400.77,23803.69
EQ-CHA-004,"Champaign, Illinois",Condiments,34140.78,16242.14
EQ-CHA-005,"Champaign, Illinois",Condiments,31746.29,19101.91
EQ-CHA-006,"Champaign, Illinois",Sauces,26388.37,12177.15
EQ-CHA-007,"Champaign, Illinois",Sauces,22706.08,16776.84
EQ-CHA-008,"Champaign, Illinois",Sauces,19696.54,28423.2
EQ-CHA-009,"Champaign, Illinois",Condiments,15377.25,17474.83
EQ-CHA-010,"Champaign, Illinois",Condiments,20800.61,23248.03
EQ-CHA-011,"Champaign, Illinois",Canned Vegetables,5726.95,18144.96
EQ-CHA-012,"Champaign, Illinois",Canned Vegetables,74832.78,15352.26
EQ-CHA-013,"Champaign, Illinois",Condiments,31519.61,2934.61
EQ-CHA-014,"Champaign, Illinois",Canned Vegetables,25011.29,9951.08
EQ-CHA-015,"Champaign, Illinois",Canned Vegetables,23794.84,21727.85
EQ-CHA-016,"Champaign, Illinois",Canned Vegetables,10638.32,2148.11
EQ-CHA-017,"Champaign, Illinois",Condiments,62773.62,6234.75
EQ-CHA-018,"Champaign, Illinois",Sauces,19845.33,19784.42
EQ-CHA-019,"Champaign, Illinois",Condiments,39471.63,2161.9
EQ-CHA-020,"Champaign, Illinois",Sauces,27840.7,11675.29
EQ-CHA-021,"Champaign, Illinois",Condiments,55371.21,16239.14
EQ-CHA-022,"Champaign, Illinois",Canned Vegetables,24918.46,26366.39
EQ-CHA-023,"Champaign, Illinois",Sauces,25437.38,5798.1
EQ-CHA-024,"Champaign, Illinois",Canned Vegetables,22269.55,17578.27
EQ-CHA-025,"Champaign, Illinois",Canned Vegetables,28886.86,26536.19
EQ-CHA-026,"Champaign, Illinois",Condiments,57121.43,3171.25
EQ-CHA-027,"Champaign, Illinois",Condiments,9451.71,2113.47
EQ-CHA-028,"Champaign, Illinois",Canned Vegetables,8111.31,4274.34
EQ-CHA-029,"Champaign, Illinois",Canned Vegetables,24590.7,22355.3
EQ-CHA-030,"Champaign, Illinois",Canned Vegetables,71412.43,10610.84
EQ-CHA-031,"Champaign, Illinois",Condiments,47208.61,10772.55
