employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Sioux City, Iowa",Administrative/Support Staff,Back-office/Support,6.6,1.1,No,1-2 days,Yes,4.4,3.8,1.5,18.44,Yes,Good- adequate for most needs,2.2,Union
EMP-0001,"Sioux City, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,6.1,2.0,Yes,<1 day,Yes,3.3,0.4,0.6,27.25,Yes,Fair- some gaps or inconsistencies,2.3,Union
EMP-0002,"Rockford, Illinois",Maintenance Technician,Front-line,7.0,5.9,Yes,<1 day,No,5.2,3.4,0.9,23.21,No,,1,Union
EMP-0003,"Sioux City, Iowa",Demand Planning/Forecasting,Back-office/Support,8.0,7.5,Yes,<1 day,Yes,1.2,4.9,1.2,31.35,Yes,Good- adequate for most needs,3.5,Non-Union
EMP-0004,"Milwaukee, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,7.5,4.3,Yes,1-2 days,No,2.1,0.1,1.3,30.85,Yes,Fair- some gaps or inconsistencies,3.9,Non-Union
EMP-0005,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,7.9,4.9,No,>2 days,Yes,6.4,1.3,0.5,22.16,No,,2.3,Union
EMP-0006,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,3.0,3.5,No,1-2 days,No,7.1,1.3,3.8,19.05,Yes,Fair- some gaps or inconsistencies,2.8,Union
EMP-0007,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,8.0,7.0,Yes,<1 day,No,6.6,4.7,0.4,23.97,No,,2.1,Non-Union
EMP-0008,"Sioux City, Iowa",Maintenance Technician,Front-line,6.3,5.1,Yes,>2 days,No,5.3,1.1,0.1,26.46,Yes,Good- adequate for most needs,2.1,Non-Union
EMP-0009,"Sioux City, Iowa",Demand Planning/Forecasting,Back-office/Support,2.4,6.8,Yes,<1 day,No,2.3,0.5,0.6,33.51,No,,3.3,Union
EMP-0010,"Detroit, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,9.7,7.5,Yes,1-2 days,Yes,12.2,7.6,11.5,23.05,No,,3.4,Union
EMP-0011,"Milwaukee, Wisconsin",Administrative/Support Staff,Back-office/Support,7.9,3.9,No,<1 day,No,1.9,3.6,3.9,17.81,Yes,Good- adequate for most needs,3.1,Non-Union
EMP-0012,"Columbus, Ohio",Production/Manufacturing Operator,Front-line,1.8,8.0,Yes,<1 day,Yes,13.6,15.4,9.0,14.78,No,,2.5,Union
EMP-0013,"Columbus, Ohio",Administrative/Support Staff,Back-office/Support,8.5,6.7,Yes,1-2 days,No,29.6,12.3,10.2,21.76,No,,1.7,Union
EMP-0014,"Columbus, Ohio",Quality Control/Quality Assurance,Front-line,3.8,5.6,No,1-2 days,No,28.6,10.1,9.9,21.58,No,,2.7,Union
EMP-0015,"Sioux City, Iowa",Production/Manufacturing Operator,Front-line,1.7,6.9,Yes,>2 days,Yes,7.7,3.8,3.7,16.86,No,,3.8,Non-Union
EMP-0016,"Columbus, Ohio",Demand Planning/Forecasting,Back-office/Support,4.2,5.9,Yes,<1 day,Yes,21.6,17.3,9.5,29.28,No,,1.8,Non-Union
EMP-0017,"Detroit, Michigan",Plant Management,Management,6.3,5.9,No,>2 days,Yes,10.9,4.3,11.4,39.78,Yes,Good- adequate for most needs,3.4,Union
EMP-0018,"Detroit, Michigan",Quality Control/Quality Assurance,Front-line,1,8.8,No,>2 days,Yes,14.7,8.5,11.3,23.17,No,,3.6,Non-Union
EMP-0019,"Rockford, Illinois",Plant Management,Management,1.2,4.8,No,>2 days,Yes,4.7,0.6,2.3,44.81,No,,1.1,Non-Union
EMP-0020,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,1.8,4.2,No,>2 days,No,2.3,4.5,1.0,32.5,No,,1.9,Non-Union
EMP-0021,"Detroit, Michigan",Plant Management,Management,2.3,3.5,No,1-2 days,Yes,9.5,14.5,8.0,44.89,No,,2.6,Union
EMP-0022,"Milwaukee, Wisconsin",Maintenance Technician,Front-line,3.4,1.2,Yes,1-2 days,No,0.7,3.6,1.0,21.28,No,,4.4,Union
EMP-0023,"Milwaukee, Wisconsin",Administrative/Support Staff,Back-office/Support,7.6,3.4,Yes,>2 days,No,1.4,0.8,0.8,20.36,Yes,Good- adequate for most needs,3.2,Union
EMP-0024,"Sioux City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,6.8,3.3,No,>2 days,Yes,4.4,3.3,1.6,27.88,Yes,Good- adequate for most needs,2.4,Non-Union
EMP-0025,"Sioux City, Iowa",Quality Control/Quality Assurance,Front-line,4.3,6.4,No,>2 days,No,6.4,0.6,3.6,23.73,No,,4.0,Non-Union
EMP-0026,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,3.4,5.7,No,1-2 days,Yes,7.1,0.2,0.9,24.87,No,,1.3,Union
EMP-0027,"Milwaukee, Wisconsin",Administrative/Support Staff,Back-office/Support,3.0,10,Yes,>2 days,Yes,6.0,1.8,0.6,12,Yes,Fair- some gaps or inconsistencies,4.2,Union
EMP-0028,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,1.3,4.7,No,<1 day,No,6.6,4.0,0.9,31.0,No,,3.0,Union
EMP-0029,"Detroit, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,7.2,9.1,Yes,>2 days,No,23.7,10.6,10.0,26.24,Yes,Good- adequate for most needs,4.1,Union
EMP-0030,"Sioux City, Iowa",Quality Control/Quality Assurance,Front-line,3.5,5.0,No,1-2 days,No,6.7,2.1,1.7,20.74,No,,4.3,Non-Union
EMP-0031,"Sioux City, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,4.1,5.1,No,1-2 days,Yes,3.9,0.3,3.7,23.86,Yes,Fair- some gaps or inconsistencies,3.5,Non-Union
EMP-0032,"Detroit, Michigan",Production/Manufacturing Operator,Front-line,1,2.4,Yes,<1 day,No,23.6,7.0,3.7,19.09,No,,2.4,Union
EMP-0033,"Milwaukee, Wisconsin",Quality Control/Quality Assurance,Front-line,3.0,7.3,Yes,>2 days,No,6.4,0.9,1.6,21.99,Yes,Good- adequate for most needs,2.9,Union
EMP-0034,"Milwaukee, Wisconsin",Production/Manufacturing Operator,Front-line,2.1,6.1,No,<1 day,No,6.4,4.9,0.3,21.1,No,,3.4,Union
EMP-0035,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,4.6,7.4,Yes,1-2 days,No,0.4,1.1,3.4,29.26,Yes,Fair- some gaps or inconsistencies,1.7,Union
EMP-0036,"Sioux City, Iowa",Production/Manufacturing Operator,Front-line,5.9,4.7,No,<1 day,No,4.3,1.2,2.9,13.99,No,,3.6,Non-Union
EMP-0037,"Milwaukee, Wisconsin",Production/Manufacturing Operator,Front-line,1.8,3.3,No,1-2 days,Yes,1.9,0.6,4.0,15.4,Yes,Excellent- comprehensive and very helpful,5,Non-Union
EMP-0038,"Sioux City, Iowa",Quality Control/Quality Assurance,Front-line,4.6,1.9,Yes,<1 day,No,4.3,4.5,1.8,19.35,No,,5,Union
EMP-0039,"Columbus, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,3.6,7.8,Yes,1-2 days,Yes,22.0,4.5,8.7,28.3,Yes,Fair- some gaps or inconsistencies,3.6,Non-Union
EMP-0040,"Columbus, Ohio",Plant Management,Management,6.6,5.7,Yes,1-2 days,Yes,11.3,9.5,7.7,36.45,No,,3.5,Union
EMP-0041,"Rockford, Illinois",Production/Manufacturing Operator,Front-line,5.9,9.1,No,1-2 days,Yes,3.8,2.6,3.2,20.08,No,,2.4,Union
