equipment_id,plant,product_family,equipment_type,scheduled_hours,actual_hours,standard_hours,labor_hours,scrap_rate,oee,unplanned_downtime_hours,units_produced,cogs_per_ton,failure_cost
EQ-PEO-000,"Peoria, Illinois",Condiments,Labeler,4420,3281,3870,2120,0.098,0.8855,267,319321,1699.18,38539.4
EQ-PEO-001,"Peoria, Illinois",Canned Vegetables,Sealer,3851,3424,3331,1673,0.0908,0.7585,73,201538,1788.23,43865.97
EQ-PEO-002,"Peoria, Illinois",Canned Vegetables,Labeler,4499,3799,3942,2577,0.0711,0.7873,92,211700,1246.72,29303.03
EQ-PEO-003,"Peoria, Illinois",Canned Vegetables,Boiler,3810,3387,3711,1364,0.0681,0.7822,338,434443,1512.41,12154.93
EQ-PEO-004,"Peoria, Illinois",Condiments,Boiler,4829,4606,4658,2898,0.087,0.8413,207,527431,1444.62,12229.57
EQ-PEO-005,"Peoria, Illinois",Sauces,Conveyor,2120,1530,2024,2223,0.0688,0.789,60,264818,1938.38,39170.41
EQ-PEO-006,"Peoria, Illinois",Condiments,Sealer,2432,1704,2311,1522,0.067,0.7404,468,508012,1332.46,26630.41
EQ-PEO-007,"Peoria, Illinois",Condiments,Filler,3419,2631,3096,772,0.0442,0.7087,144,425547,1384.34,47590.63
EQ-PEO-008,"Peoria, Illinois",Canned Vegetables,Mixer,2755,2156,2588,1469,0.088,0.8682,273,443356,883.96,33458.8
EQ-PEO-009,"Peoria, Illinois",Sauces,Mixer,3556,3052,3222,2468,0.0799,0.8317,361,156044,1916.79,25165.57
EQ-PEO-010,"Peoria, Illinois",Condiments,Labeler,3111,2788,2646,2552,0.0516,0.7728,471,436485,1729.13,17282.09
EQ-PEO-011,"Peoria, Illinois",Canned Vegetables,Filler,3021,2599,3019,500,0.0996,0.7517,95,510776,1214.71,16463.16
EQ-PEO-012,"Peoria, Illinois",Sauces,Boiler,4311,3920,4005,1059,0.0355,0.6638,279,444164,1163.58,24098.23
EQ-PEO-013,"Peoria, Illinois",Canned Vegetables,Boiler,2231,2080,2131,2422,0.0684,0.7706,311,596385,1972.05,33689.73
EQ-PEO-014,"Peoria, Illinois",Condiments,Filler,1778,1426,1721,1647,0.0881,0.8005,249,288767,1877.57,12191.12
EQ-PEO-015,"Peoria, Illinois",Sauces,Pasteurizer,2710,2277,2686,1282,0.0482,0.7642,64,565848,1421.04,22820.45
EQ-PEO-016,"Peoria, Illinois",Canned Vegetables,Pasteurizer,2336,1933,1988,1911,0.0682,0.9372,391,448322,975.99,45824.93
EQ-PEO-017,"Peoria, Illinois",Canned Vegetables,Pasteurizer,3361,2571,3340,1133,0.0704,0.7703,275,230258,1012.0,42223.25
EQ-PEO-018,"Peoria, Illinois",Sauces,Filler,4887,4443,4179,2306,0.0409,0.8147,442,356802,1812.09,29623.04
EQ-PEO-019,"Peoria, Illinois",Condiments,Boiler,2470,2413,2206,2040,0.0521,0.7812,251,499145,1038.15,19631.92
EQ-PEO-020,"Peoria, Illinois",Sauces,Filler,2375,1796,2166,1371,0.0688,0.7289,457,170426,958.56,11081.23
EQ-PEO-021,"Peoria, Illinois",Canned Vegetables,Boiler,3721,2806,3451,1886,0.0952,0.7798,77,415184,1246.94,18577.63
EQ-PEO-022,"Peoria, Illinois",Canned Vegetables,Pasteurizer,3641,2583,3477,2622,0.0597,0.8139,182,312297,1350.15,22420.73
EQ-PEO-023,"Peoria, Illinois",Canned Vegetables,Labeler,4479,3611,4409,1231,0.0573,0.7776,95,521314,1485.79,19839.16
EQ-PEO-024,"Peoria, Illinois",Sauces,Pasteurizer,1943,1373,1772,2700,0.0435,0.7587,73,169293,1628.69,35230.93
